authorization|n. 授权，批准|You need special authorization to use this theater.|你需要特别授权才能使用这个剧院。||【辨析】authoritative adj.专断的，命令式的；authorize     v.批准，许可；【谐音】贼神(authorization)"：授权后就变得很厉害。
tea|n. 茶（叶），茶（水）|Let's have scones with our tea .|我们吃点司康配茶。|medical tea 冲剂|【辨析】sea    n.海洋；teach  v.教授，讲授；tease  v.取笑，嘲笑；teapot n.茶壶；【谐音】提(tea)"：提壶茶过来。
whole|adj. 全部的，整体的；完好无损的；n. 整个；全部；adv. 完全地|He spent the whole day writing.|他整整写了一天。|on the whole 总的来说；as a whole 作为一个整体，整个看来；anxious for 渴望；entire - 整个的。|【辨析】whale n.鲸；while conj.当……的时候；wheel n.轮子，车轮；【谐音】谁(who)乐(le)"：完整了谁都乐。
biblical|adj. 圣经的|She has read biblical stories since childhood.|她童年时就读了许多圣经故事。||【辨析】bible n.权威著作，宝典
border|n. 国界，边界；v. 与…接壤；环绕…|They live near the border .|他们住在国界附近。||【辨析】bother   v.费心；board    n.板，木板；broad    adj.宽广的，宽阔的；aboard   adv.在（船、飞机、火车等）上；boundary n.分界线，边界；【谐音】报答(border)"：报答祖国就是要保卫边疆。
artistically|adv. 富有艺术地|The book is artistically printed.|这本书印刷得很有艺术感。|artistically polished 艺术加工
patience|n. 耐心，忍耐力|People have lost patience with the slow pace of reform.|人们对改革的缓慢速度已失去耐性。|have no patience with 不能容忍|【辨析】patient    adj.能忍耐的，有耐心的；impatience n.不耐烦，无耐心；patent     n.专利（权），专利证书；impatient  adj.不耐烦的，没有耐心的；【谐音】陪审(patience)"：需要耐心的工作。
apple|n. 苹果|Many people have heard this saying of "an apple a day keeps the doctor away".|许多人都听说过“一天一苹果，医生远离我”这句话。|compare apples and oranges 不能相提并论的 。comparing lady gaga and brad pitt is like comparing apples and oranges .她们是完全不同的人，是不能相提并论的。；apple of her eye 掌上明珠；be familiar with 对什么熟悉|【辨析】ample     adj.充足的，充裕的；grape     n.葡萄；pineapple n.[园艺] 菠萝
lag|v. 落在后面；n. 间隔|Jane lags behind her classmates, so she needs to study harder.|简落在了同学的后面，所以她需要更努力地学习。|jet lag 时差；time lag 时间间隔； jet lag 时差，时差反应；lag behind 落后；a lag between 两者间的差距|【辨析】rag  n.抹布，破布；logo n.（公司或组织的）标识，徽标；drag v.拖，拽；beg  v.乞求，恳求；【谐音】拉格(lag)"：比其他人落后或滞后。；【变形】过去式：lagged；过去分词：lagged；现在分词：lagging
doctor|n. 医生；博士|You'd better see a doctor about that cough.|你最好找医生治治你的咳嗽。|doctored the evidence 伪造证据|【谐音】刀开他(doctor)"：医生用手术刀给病人开刀。
beforehand|adv. 预先，事先|He arrived at the meeting place beforehand .|他提前到达会面地点。||【辨析】forehead  n.前额；shorthand n.速记（法）
nightly|adj. 每晚的；adv. 每夜|My husband and I watch the nightly news broadcast everyday.|我丈夫和我每天都看晚间新闻。|nightly news 晚间新闻|【辨析】knight n.骑士，武士
pressing|adj. 紧急的，迫切的；难以推却的|The most pressing question is how to survive the economic crisis.|最紧迫的问题是如何度过经济危机。||【辨析】press      n.新闻工作者，新闻界（the press）；impressive adj.给人印象深刻的，令人钦佩的；depress    v.使抑郁，使沮丧；impress    v.使钦佩，使留下深刻印象；express    v.表达，表露；【谐音】泼醒(pressing)"：泼醒他，考研在即，紧迫地学习！
brandy|n. 白兰地|We have drunk too much brandy.|我们喝了太多的白兰地。||【辨析】brand   n.品牌，商标；branch  n.树枝，分枝；blend   v.（使）混合，调和；frank   adj.坦率的，直言不讳的；blunder v.跌跌撞撞地走，摸索；【谐音】不烂滴(brandy)"：品质好的白兰地。
egg|n. （鸡）蛋，卵|The female bird sits on the eggs until they hatch.|雌鸟伏在蛋上直到其孵化。
