an|article. 一（个、件、场等）（用于元音前）|Allen has an evening job as private teacher.|艾伦晚上有一份家庭教师的工作。|turn over 营业额
Tuesday|n. 周二|The biologist will attend the conference on Tuesday .|这位生物学家将出席星期二的会议。
pronounce|v. 发音；正式宣布|Very few people can pronounce my name correctly.|很少有人能把我的名字念正确。|pronounce on 对…发表意见；pronounced my name wrong 拼错我的名字|【辨析】pronoun    n.代词；pronounced adj.明显的，显著的；announce   v.宣布，公布；【变形】现在分词：pronouncing
tea|n. 茶（叶），茶（水）|Let's have scones with our tea .|我们吃点司康配茶。|medical tea 冲剂|【辨析】sea    n.海洋；teach  v.教授，讲授；tease  v.取笑，嘲笑；teapot n.茶壶；【谐音】提(tea)"：提壶茶过来。
jump|n. 跳跃；激增；v. 跳；跃过；激增；快速移动|Don't jump over the wall!|不要跃过这堵墙！|jump at me 对谁生气|【谐音】江扑(jump)"：扑通一声跳进江里。
kingdom|n. 王国；（动植物）界|The kingdom 's power has been declining.|这个王国的实力在逐步衰退。|the united kingdom 联合王国；the Unite Kingdom 英国|【辨析】king   n.君主，国王；wisdom n.智慧，才智；【谐音】king的dom(kingdom)"：王国就像是国王的坟墓。
heel|n. 脚后跟；鞋跟；高跟鞋|He hurt his heel playing football.|他踢足球时伤到了脚后跟。|kick one's heels 无所事事；high heels 高跟鞋；take to one's heel 逃之夭夭、溜之大吉；kick my heels 无所事事 on our heels 紧追着我们；Achilles heel 致命弱点|【辨析】feel  v.感受到，体会到；peel  v.除去，剥去（水果、蔬菜等的）皮；wheel n.轮子，车轮；hill  n.山丘，小山；knee  n.膝盖，膝关节；【谐音】黑哦(heel)"：脚后跟常常是黑的。
panel|n. 专题讨论小组；镶板；仪器板；镶条；v. 镶板|One of the glass panels in the front door was cracked.|前门的一块方玻璃破裂了。|panel interview 小组面试；control panel 控制面板；panel show 讨论节目|【辨析】pan     n.平底锅；panic   n.恐慌，惊慌；pain    n.疼痛，伤痛；canal   n.运河，灌溉渠，水道；channel n.频道，电视频道；penalty n.（因违反法律、规定或合同而受到的）处罚，刑罚；【谐音】拍呢(panel)"：座谈小组讨论时要拍照留存。；【变形】过去式：paneled/panelled；过去分词：paneled/panelled
anticipate|v. 预料；预见；期盼|Nobody could have anticipated the result of the game.|没人能预料到比赛的结果。|resistance to 拒绝|【辨析】anticipation n.预期，预料；participate  v.参加，参与；appreciate   v.欣赏，鉴赏；【变形】现在分词：anticipating
spade|n. 铲子，锹；（纸牌的）黑桃|The children took their buckets and spades to the beach.|孩子们带上自己的桶和铲子到海滩去了。|in senventh heaven 处于狂喜状态；aces the spades 黑桃A；spear n 矛|【辨析】space  n.空间，空地；spare  adj.备用的，外加的；spider n.蜘蛛；blade  n.刀片，刀刃；spread v.展开，打开；【谐音】四倍的(spade)"：有一把铁锹，干活速度加快四倍；也指扑克牌中的黑桃。；【变形】现在分词：spading
laziness|n. 懒惰|It was sheer laziness that led to his failure in business.|他生意失败完全是懒惰造成的。|Subsidies laziness 滋生了惰性|【谐音】累人那事(laziness)"：那件事太累人了，所以大家都懒得干。
