reunion|n. 重逢；团圆|We have a family reunion on a monthly basis.|我们家每个月都会团聚一次。|family reunion 家庭团聚 家庭大团圆；family reunion dinner 团圆饭；encounter is reunion 世间所有相遇都是久别【重逢】|【辨析】reunite v.（使）团聚，（使）重聚；union   n.联合，结合；onion   n.洋葱，洋葱头；【谐音】有你(union)"：重新(re)有你。
temperature|n. 温度|The temperature today is five degrees lower than yesterday.|今天的气温比昨天低五度。|take a temperature 量体温，测温度；have temperature 发烧|【辨析】temporary adj.暂时的，临时的；temper    n.坏脾气，暴躁脾气；【谐音】谈破车(temperature)"：破车里的温度太低了。
careful|adj. 小心的；细致的|Be careful ! Look both ways before you cross the road.|小心！过马路前要左右看看。|you should work careful 你要工作仔细点|【辨析】care     n.照料，护理；careless adj.粗心大意的，疏忽的；【谐音】可否(care)福(ful)"：要小心谨慎。
oversee|v. 监督，监视|His job is to oversee the production process.|他的工作职责是监督产品生产。||【辨析】overhear  v.无意中听到，偷听到；oversight n.监督；overlook  v.忽视，忽略；【谐音】欧沃（over）see"：监督工作就是要经常去看（see）。；【变形】过去式：oversaw；过去分词：overseen
statistic|n. 统计数据；统计学（statistics）|Statistics show that women tend to live longer than men.|数据表明女性寿命要长于男性。|statistics bureau 国家统计局|【辨析】statistical adj.统计的，统计学的；statistics  n.统计学；status      n.法律地位（或身份）；state       n.状态，状况
combative|adj. 好斗的，好争论的|He was in a combative mood and refused to make any concessions.|他斗志昂扬，拒绝作出任何让步。||【辨析】combat     n.战斗，搏斗；compatible adj.兼容的
standard|adj. 标准的，正常的；n. 规范；行为标准|We aim to maintain high standards of customer care.|我们的宗旨是始终以高标准为顾客服务。|National standards 国家标准|【辨析】stand v.站立，直立
terrorist|n. 恐怖分子|He was kidnapped by a terrorist group.|他被一个恐怖组织绑架。|a sitting duck 瓮中之鳖;待毙|【辨析】terror    n.惊恐，恐惧；territory n.领土，版图，领地；terrible  adj.糟糕的，令人极为不快的；terrify   v.使害怕，使恐惧
flag|n. 旗帜|What does the flag of Italy look like?|意大利的国旗是什么样的？|kept the flag flying 为国争光|【辨析】flat adj.平的，水平的；【谐音】扶栏杆儿(flag)"：扶住旗帜才不会倒。
your|det. 你（们）的|I like your dress.|我喜欢你的连衣裙。|it comes down to 归根结底是|【辨析】you   pron.你；yours pron.你（们）的东西；【谐音】哟(your)"：年轻人，这是你的啊？！
follow|v. 跟随；遵循|Follow me please. I'll show you the way.|请跟我走。我来给你带路。|follow up 追究，追查，采取进一步行动；follow through 把。。。进行到底，完成|【辨析】fellow    n.小伙子，家伙；yellow    adj.黄的，黄色的；following adj.之后的，接下来的；flow      v.流动，流淌；allow     v.允许，准许；low       adj.低的，矮的；swallow   v.吞下，咽下；flower    n.花，开花植物；【谐音】发喽(follow)"：跟随别人就能发财。
provide|v. 提供，给予|We are here to provide a service for the public.|我们来这里是为公众服务。|provide for 规定；为……做好准备；provide against 为……做好准备，预防；provide sb with sth 给某人提供某物；provide oneself 自备；自办；French window 落地窗|【辨析】provided conj.假如，只要，在……条件下；prove    v.证实，证明；prevent  v.阻止，阻碍；【谐音】破外衣的(provide)"：穿破外衣的人很穷，需要我们提供帮助。；【变形】现在分词：providing
ours|pron. 我们的|The Smiths are neighbors of ours .|史密斯一家是我们的邻居。|ours our 我们|【辨析】our det.我们的；【谐音】啊我斯(ours)"：啊，这是我们的。
talented|adj. 有才干的；有天赋的|The film has talented actors, but the plot is poor.|这部电影里的演员才华横溢，但情节乏善可陈。|telented star - 实力派明星。|【辨析】talent n.天赋，才能；tale   n.故事，传说；patent n.专利（权），专利证书；【谐音】他能踢的(talented)"：他能踢球，是有才能的。
