lunch|n. 午餐|The dishes for lunch were really rich and tasty.|午餐的菜肴真是丰盛可口。||【辨析】bunch  n.束，串，扎；launch v.发动，发起；【谐音】浪吃(lunch)"：午餐时放松享受美食。
chemist|n. 化学家；药剂师|He became a chemist after graduation.|他毕业后成为了化学家。||【辨析】chemistry n.化学；chemical  adj.化学的，与化学有关的
oblige|v. 强迫；效劳；照办|I felt obliged to leave after such an unpleasant quarrel.|发生了这样不愉快的争吵之后，我觉得有必要离开。|be obliged to 不得不；oblige to 不得不|【辨析】obliged    adj.<正式>感激，感谢；obligation n.（法律上或道义上的）义务，责任；obligatory adj.有义务的，强制性的；【谐音】我不来这(oblige)"：你不能迫使我过去帮忙。；【变形】现在分词：obliging
intact|adj. 完好无损的|The precious painting survived the fire intact .|这幅珍贵画作在大火过后完好无损。||【辨析】infect   v.传染，浸染；impact   n.撞击，冲击力；interact v.相互交流，互动；contact  n.联系，联络；detect   v.查明，察觉；detach   v.拆下，使分离；【谐音】in 坦克(intact)"：在坦克里被保护，所以完整无缺。
apparently|adv. 显然|According to the weather report, apparently it's going to snow today.|根据天气预报，今天显然要下雪。||【辨析】apparent   adj.显而易见的，易懂的；apparatus  n.设备，器具；appearance n.露面，演出；appreciate v.欣赏，鉴赏；parent     n.父亲（或母亲）；apply      v.申请；【谐音】鹅怕人的咧(apparently)"：明显地，鹅怕人。
kit|n. 成套用具；配套元件|A well-stocked first-aid kit can help you respond effectively to common injuries.|一套完备的急救用品能帮助你迅速应对常见损伤。|first-aid kit 急救箱；kit out 装备；medical kit 急救箱；drum kit 爵士鼓；架子鼓；一套鼓乐器|【辨析】knit v.编织，针织；kite n.风筝；kin  n.（统称）家属，亲戚；kick v.踢，踢腿；knot n.（用绳索等打的）结，绞成乱团的头发（线等）；keen adj.渴望的，热衷的；【谐音】开它(kit)"：打开工具包。；【变形】过去式：kitted；过去分词：kitted；现在分词：kitting
successive|adj. 连续的，相继的|He won the game for the second successive year.|他连续两年赢得了这个游戏。||【辨析】succession n.连续不断的人（物）
creamy|adj. 像奶油的；奶油色的|The mashed potato she made was very creamy .|她做的土豆泥像奶油一样细腻。|creamy soup 指粘稠的汤，或浓汤；Creamy shake 奶昔|【辨析】scream v.（因伤痛、害怕、激动等）尖叫；steam  n.蒸汽，水蒸气；【谐音】克里米(creamy)"：像奶油一样的，形容质地柔滑、奶白色或含乳脂的。
residential|adj. 住宅的|Many local residents are opposed to locating the chemicals factory in a residential area.|当地的许多居民反对将化工厂建在居民住宅区。||【辨析】resident  n.居民，住户；residence n.住宅，住所；reside    v.<正式>居住，定居；【谐音】瑞滋胆小(residential)"：胆小不敢独自待在住宅区。
alongside|prep. 同时；与…一起；在…旁边；adv. 在一旁|Much of the land alongside the river is below sea level.|沿河的很多土地都在海平面以下。|alongside of 在...旁边; 与...并排 与...相比alongside with 与...一起; 除...以外；a long side 旁边|【辨析】along prep.沿着，顺着；aside adv.在旁边，到（或向）一边；side  n.（某人左方或右方的）一边，（事物左方或右方的）一旁；【谐音】饿狼晒的(alongside)"：饿狼在另一边晒太阳。
humourous|adj. 有幽默感的；风趣的|He had a wide mouth and humourous grey eyes.|他有一张大嘴巴，一双滑稽的灰眼睛。
lioness|n. 母狮|The lioness crouched ready to strike.|母狮低伏着身子准备攻击。|hard on sth 緊跟著…後邊|【辨析】loneliness n.孤独，寂寞；tigress    n.雌虎；hostess    n.女主人，女东道主；mistress   n.情妇；【变形】复数形式：lionesses
health|n. 健康（状况）；医疗卫生|Exhaust fumes are bad for your health .|废气对健康有害。|health costs 医疗费用；health foods 保健食品；ecological health 生态状况，生态健康|【辨析】wealth  n.财富；healthy adj.健康的，健壮的；wealthy adj.富有的，丰富的；【谐音】还噢福(health)"：还好我是健康的，这是最大的幸福。
indeed|adv. 的确；实际上；真正地|What he achieved was indeed remarkable.|他的成就确实很非凡。|in need 在困难时，在危难之中|【辨析】deed  n.行为，行动；need  v.需要；breed v.交配繁殖；feed  v.饲养，喂养，为……提供食物；deem  v.认为，相信；【谐音】影帝的(indeed)"：影帝的演技确实是真正的好演技。
contrary|adj. 对立的；相反的，截然不同的；n. 相反（的事实）|My sister's taste in dresses is contrary to my own.|在服装方面，我妹妹的爱好和我完全不同。|on the contrary 正相反；be contrary to 与····不同|【辨析】contrast      n.差异，对比；contract      n.合同，契约；contradict    v.反驳，否认；contact       n.联系，联络；contradictory adj.相互矛盾的，对立的；country       n.国，国家；context       n.背景，环境；content       adj.满足的，满意的，甘愿的；concrete      adj.确实的，具体的；contempt      n.轻视，蔑视；conform       v.遵守，符合；confirm       v.确定，确认；【谐音】靠吹(contrary)"：吹牛时说的话通常与事实相反。
sour|adj. 酸的；馊的；阴郁的|Lemons taste sour .|柠檬尝起来是酸的。|a sour temper 坏脾气；go sour 行不通，令人失望|【辨析】soul n.灵魂；sore adj.（发炎）疼痛的，酸痛的
pie|n. 派，馅饼|Help yourself to some more pie .|请随意再吃些果馅饼吧。|pie in the sky 空想；pie chart 饼分图|【辨析】pipe n.管子，管道；pile n.一堆，一叠；pig  n.猪；pill n.药片，药丸；【谐音】派(pie)"：水果馅饼，一种美味的甜点。
wild|adj. 野生的；荒芜的；狂热的；n. 荒野|They found a wild rabbit in the grass.|他们在草丛里发现了一只野兔。|wild with joy 欢天喜地 欣喜若狂；wild suppose 大胆猜测；wild animals 野生动物；go wild 狂怒，狂热|【辨析】mild     adj.（伤病）不严重的，轻微的；wide     adj.广泛的；wit      n.（说话）风趣；wildlife n.野生动植物；【谐音】外面偶得的(wild)"：在外面偶然得到的东西往往是野生的。；【变形】比较级：wilder；最高级：wildest
argument|n. 争论；论据；辩论|She got into an argument with the teacher.|她和老师争论了起来。|loud argument - 激烈争论|【辨析】argue v.主张，认为；【谐音】二狗们的(argument)"：两个人之间的争论。
departure|n. 离开，出发；违反|His sudden departure threw the office into chaos.|他的突然离去使这个部门陷入一片混乱。|departure gate 登机口；a new departure 新起点, 新方案, 新政策；a departure lounge 候车室；；departure from 违背，违反；point of departure 出发地|【辨析】depart     v.启程，出发；department n.（组织或机构中的）部，司，系，处，科；【谐音】弟爬车(departure)"：弟弟爬上车以后就可以启程了。
portable|adj. 便携的；手提式的；n. 便携式设备|The documents have been typed into a portable computer.|文件已经被输入到一台便携式电脑里了。|portable computer 笔记本电脑|【辨析】probable adj.很可能发生（或存在等）的，大概的；porter   n.（火车站、机场等的）行李搬运工人，脚夫；portrait n.（尤指只刻画脸、头和肩部的）肖像，照片，雕像；partial  adj.部分的，不完全的；port     n.港口，避风港；tablet   n.药片，片剂；【谐音】破提包(portable)"：所以是便携式的、手提的。
couch|n. 长沙发；诊察台|He is sleeping on the couch .|他在长沙发上睡觉。|couch potato 沙发土豆|【辨析】crouch v.蹲下，蹲伏；clutch v.紧握，紧抓；【谐音】靠吃(couch)"：靠在沙发上吃；口吃，表达有问题。；【变形】复数形式：couches
drunkard|n. 酒鬼，醉鬼|His father was a habitual drunkard and caused a lot of trouble for the family.|他的父亲是个老酒鬼，给家里添了不少麻烦。||【辨析】drunken adj.醉酒的，酗酒的；drunk   adj.喝醉的，醉酒的；【谐音】装磕倒(drunkard)"：经常装醉的人通常是酒鬼。
nourish|v. 抚养，滋养；培养|Milk is all we need to nourish a small baby.|母乳即可为婴儿提供足够的营养。|nourish the dream of 怀有……的梦想|【辨析】flourish    v.繁荣，昌盛；perish      v.（人或动物）惨死，猝死；nourishment n.滋养品，营养；cherish     v.珍视，珍爱；nursery     n.托儿所，幼儿园；【谐音】拿瑞士(nourish)"：用富裕的瑞士来滋养我们。
resemble|v. 看起来像；与…相似|So many hotels resemble each other.|许多酒店看上去都差不多。||【辨析】assemble    v.（使）集合，（使）聚集；resemblance n.相似，相像；assembly    n.议会，代表大会；【谐音】瑞三宝(resemble)"：瑞家的三个宝宝相似。；【变形】现在分词：resembling
idle|v. 无所事事，闲荡；adj. 懒惰的；漫无目的的；空闲的|Decreased demand for the products has left the workers idle for a month.|产品需求量的减少让工人闲了一个月。|idle capital 游资；an idle glance 漫不经心的一瞥|【辨析】dole  n.失业救济金；idol  n.偶像，受到热爱和崇拜的人（或物）；ideal adj.理想的，最佳的；idiom n.习语，成语；idiot n.白痴，笨蛋；【谐音】爱抖(idle)"：无所事事的人都爱抖腿。；【变形】现在分词：idling
commodity|n. 商品；贵重物品|The country is heavily dependent on its exports of agricultural commodities .|这个国家很大程度上依靠农产品的出口。|agricultural commodity 农产品；commodity economy 商品经济|【辨析】communism   n.共产主义，共产主义理论（或制度）；accommodate v.为……提供住宿；commercial  adj.商业的，商务的；commission  n.考察团，委员会；commerce    n.贸易，商业；【谐音】可摸的(commo)茶(di)啼(ty)"：是日用品、商品、货物。；【变形】复数形式：commodities
department|n. 部门|He used to work for the Treasury Department .|他曾供职于财政部。|personnel department 人事部 = human resource|【辨析】apartment n.公寓套房；departure n.背离；【谐音】弟怕他们特(department)"：在部门里弟弟怕他们特别。
regret|n. 遗憾，懊悔；v. 懊悔；对…感到遗憾|If you don't do it now, you'll only regret it .|你如果现在不做，以后一定会后悔的。|regret for sth 为某事感到遗憾|【辨析】regard v.认为，把……看作；forget v.忘记，遗忘；【谐音】重新(re)极好的(gret)"：想重做更好，表示遗憾。；【变形】过去式：regretted；过去分词：regretted；现在分词：regretting
invariably|adv. 不变地，总是|His decision is invariably correct.|他的决定总是正确的。||【辨析】variable adj.易变的，多变的
nevertheless|adv. 尽管如此，然而|The art gallery is guarded around the clock, but robberies occur nevertheless .|这个画廊被24小时监控着，却还是发生了盗窃事件。|never the less 这三个单词组合的结果就是nevertheless ,然而不过，转折的意思|【谐音】难为了老师(nevertheless)"：尽管如此，老师对同学们依旧很友善。
sketch|n. 草图，素描；简述；v. 为…画素描；简述|He drew a rough sketch of his girlfriend on a napkin.|他在纸巾上粗略地给他女朋友画了幅素描。|sketch book 素描本；give a sketch of 就……做出了简述。 最近发生的事情 recent happenings。；sketch out 简要描述|【辨析】snatch    v.一把抓住，立马夺下；sketchy   adj.粗略的，不完全的；stretch   v.（使）变大，拉长；scratch   v.（用指甲）挠，轻抓；skeleton  n.骨骼，骨架；skeptical adj.不相信的，持怀疑态度的；【谐音】撕开纸(sketch)"：素描不需要太大的纸。
scandal|n. 丑闻|He committed suicide after the scandal was exposed.|丑闻曝光后，他自杀了。|be the scandal of 引起…的反感；激起…的愤慨；go to pot 垮台 mustard芥末；weather a scandal 挺住因不当行为而引起的舆论压力|【辨析】scandalous adj.令人愤慨的，可耻的；scan       vt.细看，审视；cradle     n.摇篮；scarce     adj.缺乏的，不足的
achievement|n. 成就，功绩；完成|Every team member felt a sense of achievement after getting this tiring job done.|完成这项工作后，每个组员都有成就感。||【辨析】achieve v.（经努力）达到，取得，实现；【变形】复数形式：achievements
stuffing|n. 填充物|This sofa is so shabby that all its stuffing comes out.|这张沙发太破旧了，所有的填充物都露出来了。||【辨析】stuff     n.东西，物品；stuffy    adj.（房间或建筑物）闷的，通风不顺畅的；suffering n.（内心或肉体的）痛苦，问题；staff     n.全体员工，全体雇员；stiff     adj.（肌肉或关节）酸痛的，僵硬的；suffer    v.（因疾病、痛苦、悲伤等）受苦，受折磨
outward|adj. 表面的；外出的；向外的；adv. 向外地，往外地|Mark showed no outward signs of distress.|马克在外表上没有现出沮丧的神色来。|an outward voyage 往海外的航行；outward appearances 外观；外表|【辨析】onward   adv.向前；upward   adj.升高的，上升的；downward adj.向下的，下降的；ward     n.病房，病室；outer    adj.外面的，外部的；inward   adj.内心的，精神的；【谐音】Out我的(outward)"：外面的都是我的，指向外的。
speculation|n. 猜测，推测|Rumours that they are about to divorce have been dismissed as pure speculation .|他们要离婚的传言已被证实纯属臆测。||【辨析】speculate   v.猜测，推测；speculative adj.推测的，猜测的，推断的；spectator   n.（尤指体育比赛的）观看者，观众；spectacular adj.壮观的，令人惊叹的；【谐音】失败Q雷神(speculation)"：推测雷神失败是因为长得太可爱(Q)了。
oppose|v. 反对；抵抗|This party would bitterly oppose the reintroduction of the death penalty.|本党会强烈反对恢复死刑。|oppose to 后面跟名词从句、动名词，不能跟动词原型；just the opposite 正好相反|【辨析】impose     v.强制推行，强制实行；expose     v.暴露，使显露；pose       v.造成，引起（威胁、危险、问题等）；compose    v.组成，构成；suppose    v.推断，料想，猜想；propose    v.提议，建议；purpose    n.目的，意图；opposite   adj.完全相反的，截然不同的；opponent   n.对手，竞争者；dispose    v.处理，放置，安排；opposition n.（强烈的） 反对，反抗；【变形】现在分词：opposing
selective|adj. 选择性的；严格筛选的|The college was very selective , accepting only a small number of students with exceptional undergraduate record.|这个大学的筛选很严格，只接受一小部分本科成绩优异的学生。||【辨析】selection n.选择，挑选；select    v.选择，挑选；elective  adj.选举的，由选举产生的；lecture   n.讲座，讲课，演讲；elect     v.选举；【谐音】谁来替我(selective)"：选择性地挑选。
reformist|adj. 主张改革的，改良主义的；n. 改良者，改革者|He gradually gave up his reformist ideas.|他逐步放弃了自己的改良主义思想。||【辨析】reform      v.改革，革新；reformation n.改革，革新
visibility|n. 能见度|Heavy fog made for poor visibility on the roads.|大雾使得道路的能见度很低。||【辨析】visible   adj.看得见的；visionary adj.有眼力的，有远见卓识的
violate|v. 违反；侵犯；亵渎|The country violated the international trade agreement.|该国违反了国际贸易协定。|violate sb's privacy 侵犯隐私 violate the law违法|【辨析】violent  adj.暴力的；violence n.暴力，暴行；violin   n.小提琴；【谐音】Why late(violate)?"：迟到就是违反规定。；【变形】现在分词：violating
rumour|n. 谣言，传闻|I heard a rumour that they are getting married.|我听到谣言说他们要结婚了。|all sorts of rumours 各种各样的传闻；libel slander 诽谤和流言|【辨析】rumor  n.谣言；tumour n.肿瘤，肿块；humour n.幽默，幽默感；tumor  n.肿瘤；humor  n.幽默，诙谐；【谐音】辱没(rumour)"：你的谣言辱没了我。
blur|v. （使）变得模糊；（使）难以区分；n. 模糊|Everything is just a blur without my glasses.|如果不戴眼镜，我看什么都是模糊的。|blurred and divided minds 三心二意；blur the lines between 无法区分|【辨析】blunt adj.钝的，不锋利的；spur  n.一时冲动之下，心血来潮；【谐音】伯乐(blur)"：伯乐怎么能看不清、模糊的千里马呢？；【变形】过去式：blurred；过去分词：blurred；现在分词：blurring
utilize|v. 利用；使用|They were the first to utilize fire as a kind of weapon.|他们是第一个把火用作武器的。|utilized by 被使用|【辨析】utility     n.（煤气、水、电等的）公共服务，公用事业；futile      adj.徒劳的，无用的；utilization n.利用，使用 (=utilisation)；【谐音】用它来做(utilize)"：利用某物来完成任务。；【变形】现在分词：utilizing
notification|n. 通知，公告|You will receive the written notification within a week.|你会在一周内收到书面通知。||【辨析】notation      n.（音乐、数学等的）标记系统，成套符号，标记法；specification n.规格，规范，明细单，说明书；notion        n.概念，想法；【谐音】楼梯(noti)分开上(fication)"：像分开上楼梯一样，逐步传达通知。
clever|adj. 聪明的；精巧的|Clever girl!|多么聪慧的女孩！|make me feel inferior 让我自愧不如；make a confession 招认，见上例|【辨析】clear adj.易懂的，明白的；clean adj.洁净的，干净的；【谐音】可来玩(clever)"：聪明的小孩。
jury|n. 陪审团；裁判委员会|He was chosen to become a member of the jury for this murder case.|他被选为陪审团的一员，来参与这起谋杀案的审判。||【辨析】juror n.陪审员，陪审团成员；fury  n.暴怒，狂怒；bury  v.埋，埋葬；judge n.法官，审判官；【谐音】诸位(jury)"：陪审团在法庭上的称呼。；【变形】复数形式：juries
bowl|n. 碗，盆；一盆（的量）；碗状物|She finished the supper with a bowl of soup.|她晚餐最后喝了一碗汤。|a bowl of 一碗。；go bowling 去打保龄球；NBA bowl 季后赛；kobe bowl！科比投球得分|【辨析】bow   v.鞠躬，点头；blow  v.（风）刮，吹；brown adj.褐色的，棕色的；below prep.（位置）在……下面；towel n.毛巾，抹布，纸巾；low   adj.低的，矮的；town  n.城镇，市镇；elbow n.肘，肘部；【谐音】钵(bowl)"：一种深的圆形容器，即碗。
privilege|n. 特惠待遇；特权；荣幸|Education should be a universal right and not a privilege .|教育应当是全民的权利而非某部分人特别享有的。|privilege sb from sth 特许某人做某事；led the life of 过着。。。样的生活|【辨析】private    adj.私有的，自用的；prevailing adj.现存的，存在的；privacy    n.隐私，秘密；prevail    v.流行，盛行；【谐音】赔我荔枝(privilege)"：没有特权就得赔，能赔是我的荣幸。；【变形】现在分词：privileging
which|pron. 哪个；那个|Which of the applicants has got the job?|哪一位应聘者得到了这份工作？||【辨析】when  adv.什么时候；what  det.什么；why   adv.（用于问句）为什么，为何；who   pron.谁；where adv.在哪里；whose pron.谁的（疑问代词）；【谐音】喂吃(which)"：喂给哪个人吃？表示疑问。
really|adv. 事实上，确实；真正地|What do you really think about it?|你到底对这事怎么看？|pull together 团结起来|【辨析】real    adj.实际存在的，非想象的；ready   adj.（某人）准备好（做某事）的；reality n.真实，现实；rely    v.相信，信赖；relay   v.传递，传达（信息、新闻等）；realise vt.认识到，明白；rarely  adv.罕有，很少；truly   adv.真实地，如实地；【谐音】锐利(really)"：真正的、非常锐利。
grand|adj. 壮丽的；宏伟的，重大的|The wedding was a very grand occasion.|婚礼场面非常隆重。|on a grand scale 大规模地；do the grand 摆架子；grand adj 豪华的 宏伟的 主要的 重大的 n一千美元|【辨析】grant  v.授予，给予；grind  v.磨碎，碾碎；brand  n.品牌，商标；ground n.地，地面；【谐音】够软的(grand)"：这富丽堂皇的床够软的，花了我一千美元呢。
marginal|adj. 边缘的；不重要的；边际的|This once important social group is becoming more and more marginal .|这个一度十分重要的社会集团越来越无足轻重了。|marginal people 边远地区的人；marginal writing ability 写作能力低|【辨析】margin  n.页边空白；marital adj.婚姻的，夫妻关系的；magnify v.放大，扩大；trivial adj.琐碎的，不重要的；【谐音】满着呢(marginal)"：中间都满了，只能放在边缘的地方。
reputation|n. 名声，名誉|She, as a teacher, has a really good reputation among her students.|作为一名教师，她在学生之中口碑甚佳。|establish one's reputation 建立某人的声誉|【辨析】repetition  n.重复，重说，重做；revolution  n.（思想、工作方式等的）彻底变革；computation n.计算，计算过程；【谐音】人品太神(reputation)"：形容一个人的名声、声誉极好。
recite|v. 背诵，朗诵；详述|They recited all their grievances to me.|他们把所受的委屈都告诉了我。|recitation n 朗读 背诵 习题课|【辨析】recipe  n.烹饪法，食谱；excite  v.使兴奋，使激动；cite    v.引用，援引；receipt n.发票，收据；【谐音】re重新say它(recite)"：重新说它，即背诵。；【变形】现在分词：reciting
glow|v. 发出微光；喜形于色；n. 微弱的光；容光焕发|When night falls, red and blue and other colors cast a hazy glow over a city lit up by tens of thousands of neon signs.|当夜幕降临时，红色和蓝色以及其他颜色在成千上万的霓虹灯标志照亮的城市上投下朦胧的光芒。||【辨析】flow  v.流动，流淌；plow  n.犁；gown  n.女裙服，女礼服；glue  n.胶水；gleam v.发微光，闪烁；glare v.怒视，瞪眼
addictive|adj. 使人上瘾的|Fishing can be highly addictive .|钓鱼极易使人上瘾。|addict to 耽溺于...，热爱...|【辨析】adjective  n.形容词；addiction  n.瘾；addict     n.（尤指毒品）上瘾者，瘾君子；addicted   adj.（吸毒）成瘾的，上瘾的；addition   n.增加物，新增人员；additional adj.附加的，额外的
grandchild|n. （外）孙子，（外）孙女|The elders are responsible for taking care of their grandchildren in many double-income families.|在许多双薪家庭，老年人负责照料他们的孙儿孙女们。||【辨析】grand    adj.壮丽的，堂皇的；grandson n.孙子；child    n.儿童，小孩；【谐音】哥瑞柴噢的(grandchild)"：指孙子或孙女。；【变形】复数形式：grandchildren
plentiful|adj. 大量的，充足的|There is a plentiful supply of food on the table on New Year's Eve.|在除夕夜，餐桌上的食物都很丰盛。|a plentiful harvest 大丰收|【辨析】plaintiff n.<法律>原告，起诉人；【谐音】普兰特富(plentiful)"：普兰家有丰富、充裕的好吃的。
dinner|n. 晚饭；晚宴|It's time for dinner .|该吃饭了。|in particular 尤其，特别|【谐音】订哪儿(dinner)"：晚上聚餐订在哪儿吃呢？
steady|adj. 稳步的；稳定的；惯常的；v. （使）稳定；使冷静|We are making slow but steady progress.|我们虽然缓慢但是在稳步前进。|steady nerves 神经镇定|【辨析】study  n.（专题）研究，调查；stable adj.稳定的，牢固的；daddy  n.爸爸；【谐音】死呆地(steady)"：形容稳定的、不变的状态。；【变形】比较级：steadier；最高级：steadiest
journalist|n. 记者|She works as a journalist on the China Daily.|她是《中国日报》的新闻记者。||【辨析】journalism n.新闻业，新闻工作；journal    n.杂志，期刊，报纸；journey    n.旅行，旅程；【谐音】这能累死他(journalist)"：新闻记者东奔西走很累。(-ist表示"...者")
weigh|v. 重量为…；称重量；认真权衡；有影响|She weighs 60 kilos.|她体重为60公斤。|weigh one's words 斟酌自己的话|【辨析】weight n.重量，分量，体重；high   adj.高的；height n.身高；wide   adj.广泛的；length n.长，长度；【谐音】为(we)你(igh)"：为你称量体重，权衡减肥方法，考虑其影响。；【���片】v. 称重
podcast|n. 播客|You can choose your favorite audio file from thousands of podcasts .|你可以从成千上万的播客中选择你最喜欢的音频文件。||【辨析】cast      vt.投射（光，影）；broadcast v.散布，传播（信息等）；webcast   n.网络广播；【谐音】播卡死它(podcast)"：这个播客节目播放得太频繁了。
bubble|n. （气）泡；肥皂泡；经济泡沫；v. 冒泡；洋溢着|The father made a lot of soap bubbles to amuse his two-year-old son.|这位父亲做了许多肥皂泡来逗2岁的儿子玩。|bubble data 泡沫数据；housing bubble 房地产泡沫|【辨析】bible  n.权威著作，宝典；bull   n.公牛；huddle v.蜷缩，依偎；【谐音】比巴卜(bubble)"：吃个比巴卜糖，吹出一个泡泡。；【变形】现在分词：bubbling
reckon|v. 认为；估计；料想；把…当作|I reckon that I'm going to get that job.|我认为我会得到那份工作。|be reckoned 被普遍认为是，被看做是；be reckoned with 被加以考虑；reckon in 把…计算在内；reckon as 认为是，看做是：；reckon with 估计，预料到，处理，对付|【辨析】reckless adj.鲁莽的，不计后果的；【谐音】乱啃(reckon)"：估算，不是精确计算。
towel|n. 毛巾|She used a towel to dry her dog after its bath.|给狗洗完澡后，她用一条毛巾擦拭了狗。|sanitary towel 卫生巾；sop up 吸水|【辨析】tower n.塔，塔楼；bowl  n.碗，盆；【谐音】掏哦(towel)"：掏出毛巾擦汗。；【变形】过去式：towelled/toweled；过去分词：towelled/toweled；现在分词：towelling/toweling
expect|v. 预料；期待；指望|We are expecting a rise in food prices this month.|我们预计这个月食物价格会上涨。||【辨析】except      prep.除……外，不包括；expert      n.专家，能手，权威；aspect      n.方面，特色；respect     n.尊敬，敬重；inspect     v.检查，审视；expectation n.期待，预期；【谐音】一开始败给他(expect)"：你期待、预期的结果吗？
trainer|n. 教练员；运动鞋|Please wear trainers in the gym, or your feet may hurt.|在健身房请穿运动鞋，否则你的脚可能会疼。||【辨析】trailer n.拖车，挂车；trainee n.接受培训者，实习生，见习生；【谐音】吹呢(trainer)"：教练员吹牛说他百米能跑9秒。
contentious|adj. 有争议的；爱争论的|His views on marriage are very contentious .|他对婚姻的看法很有争议。||【辨析】contention    n.看法，观点；convention    n.习俗，惯例；contented     adj.满足的，满意的；content       adj.满足的，满意的，甘愿的；contagious    adj.（疾病）接触性传染的；contend       v.声称，主张；consent       n.许可，允许；contest       n.比赛，竞赛；controversy   n.争论，争议；contradiction n.矛盾，不一致；【谐音】肯谈心事(contentious)"：肯谈心事了还有什么好争吵的？
deposit|v. 放置；存钱；使沉积；n. 存款；定金；沉积物|He deposited the case in the left luggage office.|他把箱子放在了行李寄存处。|a deposit form 存款单|【辨析】exploit v.剥削，压榨；despite prep.尽管，即使；despair n.绝望；dispose v.处理，放置，安排；【谐音】得(de)pos机存它(it)"：在银行存款。
dragon|n. 龙|Later, dragon became the symbol of monarch.|后来，龙成为了君主的象征。|The Dragon Boat Festival 端午节|【辨析】drag  v.拖，拽；wagon n.（一般由马拉的）四轮运货车；【谐音】抓根(dragon)"：龙的爪子抓住了树根。
grocery|n. 食品杂货（店）|He ran a small grocery store after retirement.|他退休后经营一家小食品杂货店。||【辨析】grocer  n.食品杂货商；gallery n.美术馆，画廊；【谐音】够实惠(grocery)"：在食品杂货店买东西很便宜。；【变形】复数形式：groceries
deficient|adj. 缺乏的；有缺陷的|We are deficient in hands.|我们人手不够。|deficient in 对……缺乏；缺乏……|【辨析】efficient  adj.生效的，效率高的；deficit    n.亏损，赤字，不足额；proficient adj.熟练的，精通的；sufficient adj.足够的，充足的；definite   adj.清晰的，明晰的；defiance   n.违抗，蔑视；defect     n.缺点，缺陷，毛病；【谐音】得费神的(deficient)"：照顾有缺陷的弟弟很费神。
housing|n. 房屋，住宅；住房供给|The country needs an integrated housing policy for the benefit of all people.|为了全民的利益，这个国家需要一项综合性的住房政策。|low-density housing 低密度居住区；Housing estate 屋苑 ; 住宅区 ; 房地产 ; 住宅小区 housing allowance 住房补贴 ; 住房津贴 ; 房帖 ; 房屋津贴；bearing housing 轴承箱|【辨析】house n.房子，住宅；【谐音】好心(housing)"：提供住房的人很好心。
transmission|n. 传播；传染；播送；播出的节目|Education is not merely the transmission of knowledge and skills.|教育不仅仅是知识与技能的传播。||【辨析】transition     n.过渡，转变；translation    n.翻译；transaction    n.交易，买卖，业务；transistor     n.晶体管；transmit       v.播送，传输，发射；transformation n.（彻底或重大的）改观，变化，转变；transient      adj.转瞬即逝的，短暂的；transparent    adj.透明的，清澈的；transplant     v.移植（器官、皮肤等）；transform      v.使改观，使变形，使转化；transport      n.运输，运送；transcend      v.超出，超越；transit        n.运输，运送；【谐音】全是密信(transmission)"：需要传输出去的重要信息。
float|v. （使）浮动，漂浮|The boats were floating gently down the river.|船只沿着小河慢慢漂流。|float rumor 散播谣言；Oil is floating on the face of lake.；float cup 漂流瓶|【辨析】flat  adj.平的，水平的；boat  n.小船；boast v.有（值得自豪的东西）；【谐音】浮露头(float)"：漂浮上来露出头。
bargain|n. 物美价廉的东西；交易；v. 讨价还价；讲条件|The car was a bargain at that price.|那辆车的价格真便宜。|That's the bargain 成交 ; a bargain is a bargain. 一言为定 ; It is real bargain . 真便宜 ; bargain on:依赖，指望，预料； bargain for:讨价还价，预料； bargain over:就某物讨价还价; bargain away:廉价出售；反复议价；轻易放弃。；bargain for 指望 预期|【辨析】margin n.页边空白；【谐音】白给(bargain)"：便宜货需要讨价还价才能交易。
faith|n. 信心，信任；宗教信仰；诚意|I have great faith in you—I know you'll do well.|我对你有信心我知道你会干好的。||【辨析】faint    adj.模糊的，微弱的；fair     adj.公平的；fail     v.失败；faithful adj.忠实的，忠诚的；fate     n.命运；fall     v.降落，落下；fake     adj.伪造的，冒充的；failure  n.失败
magnet|n. 磁铁；有吸引力的人或物|Forbidden City is a great magnet for foreign tourists.|紫禁城对外国旅游者来说是个有巨大吸引力的地方。|magnet school 有吸引力的学校|【辨析】magnetic adj.磁的，磁性的；magnify  v.放大，扩大；magical  adj.魔法的，魔术的
rebel|n. 叛乱者；叛逆者；v. 造反，反抗|The rebels have been arrested by the police.|这些反抗者被警察逮捕了。|rebel against 与。。反抗|【辨析】repel  v.击退，驱逐；label  n.标签，标牌；revolt n.（对权威、规定、法律的）反抗，违抗；propel v.推进，驱动；【变形】过去式：rebelled；过去分词：rebelled；现在分词：rebelling
organic|adj. 有机的；有机物的|Organic apples are much smaller.|有机苹果要小得多。|organic question 根本问题；be organic to 是……不可缺少的组成部分|【辨析】organ        n.（人体或动植物的）器官；organize     v.组织，筹备；organism     n.生物，有机体，（尤指）微生物；origin       n.起源，起因；organization n.组织，机构；original     adj.起初的，原先的；【谐音】鹅肝你看(organic)"：这是有机的器官。
