gracious|adj. 和蔼的|Phil is most gracious to everyone.|菲尔对每个人都很亲切。|gracious in defeat 虽败犹荣；gracious gracious 亲切的 高尚的|【辨析】spacious adj.（房间或建筑物）宽敞的；glorious adj.光荣的，值得称道的；graceful adj.优美的，优雅的；generous adj.慷慨的，大方的；gorgeous adj.美丽动人的；grace    n.优美，优雅
journal|n. 期刊；n. 日志|I read the paper in a scientific journal .|我是在一本科学期刊上读到这篇论文的。|The Wall Street Journal 华尔街日报|【辨析】journey    n.旅行，旅程；journalist n.新闻工作者，新闻记者；journalism n.新闻业，新闻工作；【谐音】这儿呢(journal)"：杂志在这儿呢。
inspector|n. 督察员；n. 巡官|An inspector was sent to the scene of the incident.|一名检查员被派往事故现场。|The government inspector 钦差大臣；quality control inspector 质量管理检查员;inspector of tax 税务稽查员;an inspector of prisons监狱视察员;|【辨析】inspect    v.检查，审视；inspection n.视察；spectator  n.（尤指体育比赛的）观看者，观众；respect    n.尊敬，敬重；suspect    v.猜想，认为（某事有可能）；【谐音】应是避开他(inspector)"：应该避开检查员或视察员。
continual|adj. 连续不断的；adj. 频繁的|The five days of continual rain ruined our travel plan.|这雨连下了五天，毁掉了我们的旅游计划。||【辨析】continuous adj.连续不断的，持续的；continent  n.洲，大陆；constant   adj.持续不断的，经常发生的；consistent adj.始终如一的，一贯的；【谐音】肯定牛(continual)"：持续不断地努力肯定会变得很牛。
sauce|n. 酱，调味汁|He put some tomato sauce on the dish.|他在菜肴上加了一些番茄酱。|sweet and sour sauce 酸甜適口；sauce boat 酱油碟|【辨析】saucer  n.茶碟，茶托，碟状物；source  n.来源，出处；sausage n.香肠，腊肠；【谐音】寿司(sauce)"：有的寿司最后会洒酱汁。
scan|v. 扫描；n. 扫描检查；v. 浏览；n. 浏览|I scanned the newspaper when I was waiting for the bus.|等公共汽车的时候，我浏览了一下报纸。||【辨析】span    n.时间跨度，一段时间；scar    n.伤疤，疤痕；scale   n.天平，磅秤；scarf   n.围巾，披巾，头巾；scandal n.丑行，丑闻；scarce  adj.缺乏的，不足的；【谐音】死看(scan)"：死盯着看，就是浏览。；【变形】过去式：scanned；过去分词：scanned；现在分词：scanning
innocent|adj. 无罪的；adj. 无恶意的；adj. 无邪的|She was found innocent of any crime.|她获判无罪。|an innocent child 无辜的孩子；with an innocent smile 天真的笑容|【辨析】innocence  n.天真，单纯；ignorant   adj.无知的，（对某事物）不了解的；cent       n.分（美元、欧元等的货币单位）；ignorance  n.无知，愚昧；ignore     v.佯装未见，不理睬；innovation n.新事物，新方法
marshal|n. 消防队长；n. 元帅；v. 集结，调集|The country marshalled its economic and political resources to protect its security interests.|该国为保护其安全利益集中经济与政治资源。||【辨析】marsh   n.沼泽，湿地；smash   v.打碎，（使）粉碎；mansion n.大厦，宅邸；【谐音】马首(marshal)"：唯元帅马首是瞻。
paw|n. 爪|I found paw prints of a cat on the floor.|我在地板上发现了猫的爪印。||【辨析】jaw  n.颌，颚；pad  n.（吸收液体、保洁或保护用的）软垫，垫状物；raw  adj.生的，未煮过的；palm n.手掌，手心；plow n.犁；claw n.（动物的）爪，爪子；【谐音】刨(paw)"：动物的爪子就是用来刨的。
overwhelming|adj. 极其强烈的；adj. 压倒性的|The football team won an overwhelming victory last night.|这支足球队昨晚获得了压倒性的胜利。|overwhelming sorrow 极度的悲哀；极度的悲痛|【辨析】overwhelmingly adv.压倒性地，不可抵抗地；overwhelm      v.（感情上）使受不了，使不知所措
battery|n. 电池|He is charging a storage battery .|他在为蓄电池充电。|a battery of 一系列；spare battery 备用电池|【辨析】battle    n.战役，战争；better    adj.较好的，更好的；butter    n.黄油，牛油；bitter    adj.味苦的；bacteria  n.细菌（bacterium的复数）；butterfly n.蝴蝶；betray    v.背叛，出卖；barrier   n.障碍，壁垒；【谐音】爸特累(battery)"：爸爸感觉特别累，就像电池耗尽了电。；【变形】复数形式：batteries
priority|n. 优先考虑的事；n. 优先|Our first priority is to improve standards.|我们的头等大事是提高水平。|give priority to 优先考虑|【辨析】prior     adj.先前的，事先的；primary   adj.主要的，首要的；primarily adv.主要地，首要地，根本地；primitive adj.原始的，远古的；private   adj.私有的，自用的；【谐音】排(pri)或(or)挨踢(ity)"：排队或挨踢都不能有优先权。；【变形】复数形式：priorities
likewise|adv. 同样地；adv. 还|Just water these flowers twice a week, and likewise the ones in the living room.|这些花只需一周浇两次水，客厅里的那些也一样。||【辨析】clockwise  adj.顺时针方向的；likely     adj.可能发生的；otherwise  adv.否则，不然；likelihood n.可能，可能性；【谐音】来可怀斯(likewise)"：我也同样喜欢(like)怀斯(wise)。
inhabitant|n. 居民；n. 栖居的动物|The city's first inhabitant s arrived in the 18th century.|18世纪时这个城市迎来了第一批居民。|inhabit v 栖息，居住于 +ant（的人）--居民|【辨析】inhabit v.居住于，栖居在；inhibit v.抑制，约束；habitat n.（动植物的）生活环境，栖息地；【谐音】因海不疼它(inhabitant)"：它成为了陆地上的居民。；【图��】n. 居民
stimulate|v. 促使；v. 使兴奋；v. 引起；v. 刺激|The game has stimulated her interest in studying.|这款游戏激发了她对学习的兴趣。||【辨析】formulate   v.制定，规划；stimulus    n.刺激（物）, 促进因素；accumulate  v.积累，积攒；stimulation n.刺激，激励，兴奋作用；imitate     v.模仿，仿效；【变形】现在分词：stimulating
execute|v. 处决；v. 执行；v. 完成|The prisoner was executed for murder two days ago.|这名囚犯因谋杀罪在两天前被处死了。||【辨析】execution n.执行，实施，完成；executive adj.行政的，有执行权的；【谐音】艾克斯(exe)可爱(cute)"：这么可爱，执行吧。；【变形】现在分词：executing
detect|v. 发现，察觉；v. 探测，检测|This instrument can detect small amounts of radiation.|这台设备可以检测到微量辐射。||【辨析】defect    n.缺点，缺陷，毛病；detective n.侦探，警探；detection n.察觉，发现；direct    adj.径直的，笔直的；delete    v.删除；select    v.选择，挑选；protect   v.保护，防护；neglect   v.疏于照顾，未予看管
excel|v. 擅长；v. 出色，突出|She has always excelled in foreign languages.|她的外语向来都是出类拔萃。||【辨析】expel      v.把……开除（或除名）；exceed     v.超过，超出；excess     n.超过，过量；exile      n.流放；exert      v.运用，施加（影响）；excellence n.杰出，卓越；excessive  adj.过度的，过多的；【谐音】擅长(excel)"：我擅长使用Excel做表格。；【变形】过去式：excelled；过去分词：excelled；现在分词：excelling
paragraph|n. 段落|The editor deleted the last paragraph from the article.|编辑删除了文章的最后一段。|in the preceding paragraph 在前一段|【辨析】photograph n.照片，相片；graph      n.图表，曲线图；parallel   adj.平行的；parade     n.游行
numerous|adj. 众多的，许多的|His thesis was refused to be published because it contains numerous errors.|他的论文由于错漏百出而被拒绝发表。|numerous number 数字众多|【辨析】enormous adj.巨大的，极大的；number   n.数字；【谐音】牛毛肉丝(numerous)"：像牛毛一样的肉丝，形容众多的、许多的。
mill|n. 制造厂；n. 磨粉机；n. 磨坊；v. 把…磨成粉|A coffee mill grinds coffee beans into powder.|咖啡研磨机把咖啡豆磨成粉。|milk mill 牛奶加工厂~；cotton mill 纱厂，纺织厂；grist to the mill 对路|【辨析】pill n.药片，药丸；【谐音】磨(mill)面儿"：磨坊用来磨面的地方。
threaten|v. 构成威胁；v. 恐吓|Doctors are sometimes threatened with violence by some patients' families.|医生有时候会受到患者家属的暴力威胁。||【辨析】threat n.威胁，恐吓；thread n.线；treat  v.对待，看待
