anticipate|v. 预料；预见；期盼|Nobody could have anticipated the result of the game.|没人能预料到比赛的结果。|resistance to 拒绝|【辨析】anticipation n.预期，预料；participate  v.参加，参与；appreciate   v.欣赏，鉴赏；【变形】现在分词：anticipating
pencil|n. 铅笔|She can draw vivid animals with a pencil .|她能用铅笔画出栩栩如生的动物。||【辨析】pen n.笔，钢笔；【谐音】盘搜(pencil)"：铅笔丢失了需要到处找。
loudly|adv. 大声地|Don't be afraid and speak your mind loudly .|不要害怕，大声说出你的想法。||【谐音】闹得你(loudly)"：噪音大到让你睡不着，声音很大地吵闹。
falsehood|n. 谎言，虚假|The police found that the criminal was deliberately telling a falsehood .|警察发现罪犯在故意说谎。|be turned into 变成|【辨析】false      adj.错误的，不真实的；livelihood n.生计，营生；likelihood n.可能，可能性；childhood  n.童年，幼年时代；【谐音】发誓，唬的(falsehood)"：发的誓都是唬人的谎言。
bill|n. 法案；账单；纸币；v. 开账单|We ran up a massive hotel bill .|我们累积了大笔的旅馆费。|a clean health bill 健康证明；billing information 账单信息；be billed as 被标记成|【辨析】bell    n.钟，铃；pill    n.药片，药丸；fill    v.（使）充满，占满；kill    v.杀死；hill    n.山丘，小山；till    prep.直到，到……为止；will    v.将，将要；ill     adj.有病的，不舒服的；billion num.十亿；【谐音】币噢(bill)"：就是钱啊。
be|v. 是；有，存在；位于；前往；等于|I'll be right back.|我马上就回来。
many|adj. 许多的，大量的；adv. 大量；n. 多数人；pron. 许多人或物|You can't have one each. We haven't got many .|你们不能一人一个。我们没有很多。||【辨析】more det.（数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；most det.（数量上）最多，最大（ much, a lot of, many 的最高级）；【谐音】卖力(many)"：一个男的给你很多钱。
resultant|adj. 因而发生的|Both sides were shocked by the violence and the resultant loss of life.|双方对这起暴力事件以及由此引发的生命损失感到震惊。|result in 导致,引起；result from 由…引起,是…的结果|【辨析】reluctant  adj.勉强的，不情愿的；consultant n.顾问；【谐音】结果(result)安特(ant)"：合成的结果。相关词：resistant（抵抗的），reluctant（不情愿的），consultant（顾问）。
surf|v. 上网；冲浪|David learned to surf when he was living in Xiamen.|大卫住在厦门时，学会了冲浪。|surfing the net 上网；surfing the internet 上网冲浪|【辨析】sure    adj.确信的，有把握的；surfing n.冲浪运动；surface n.表面；stuff   n.东西，物品；suffer  v.（因疾病、痛苦、悲伤等）受苦，受折磨；surgeon n.外科医生；scan    vt.细看，审视；【谐音】舒服(surf)"：冲浪很舒服。
skirt|n. 裙子；边缘|Her long skirt billowed in the breeze.|她的长裙在微风中飘动。|skirt round 回避|【辨析】shirt n.衬衫，恤衫；skill n.技巧， 技艺；skate n.溜冰鞋，滑冰鞋
bed|n. 床；河床；底层|She lay on the bed .|她躺在床上。|a bed of roses 心满意足的境遇；安乐窝；bed down 打地铺；maternity ward 产科病房；be not all roses 并非完美，不是尽善尽美；并非十分轻松愉快|【辨析】bad adj.坏的，不好的，令人不悦的；bid v.出价；red adj.红的，红色的；dad n.爸爸；【谐音】白的(bed)"：医院都用白色的床单。
still|adj. 静止的，平静的；adv. 仍然，还是|I wrote to them last month and I'm still waiting for a reply.|我上个月给他们写了信，到现在还在等回音。|still waters 死水；a still drink 无汽饮料 a fizzy drink 含气饮料|【辨析】skill  n.技巧， 技艺；spill  v.（使）洒出，泼出，溢出；till   prep.直到，到……为止；until  conj.到……时，直到……为止；silent adj.（人）安静的，沉默的
chicken|n. 鸡（肉）|They keep chickens in the back yard.|他们在后院养鸡。|chicken out 退缩，因胆怯懦弱而退出；chicken pox 水痘|【辨析】kitchen n.厨房；【谐音】吃(chi)一次(c)肯(ken)"：吃一次肯德基的鸡肉(chicken)。
single|adj. 单个的；单身的；单人的；单程的；n. 单曲|He sent her a single red rose.|他送给她一支红玫瑰。|single baby 独生子女；one single hoot 一点儿；singles' day 光棍节|【辨析】simple   adj.简单的，简明的；angle    n.角；signal   n.信号，暗号；sample   n.样本，样品；singular adj.单数的，单数形式的；【变形】现在分词：singling
delegate|v. 选派；授权；n. （会议）代表|The new manager was delegated to reorganize the department.|这位新经理被派来重新组织该部门。|meets delegates 会见代表|【辨析】delicate   adj.柔和的，清淡的；dedicate   v.致力于，献身于；delete     v.删除；delegation n.代表团；designate  v.把……定名为，把……描述为；deplete    v.大量减少，耗尽；aggregate  n.总数，合计；legitimate adj.正当的，合理的；【谐音】代理给他(delegate)"：委托他代表你进行某种活动。；【变形】现在分词：delegating
reliable|adj. 可信赖的；真实可靠的|We are looking for someone who is reliable and hard-working.|我们在物色可靠而又勤奋的人。||【辨析】reliance   n.依靠，信任；liable     adj.（在法律上）有责任的，有义务的；relieve    v.缓解（疼痛或不快的感觉）；realize    v.了解，意识到；relay      v.传递，传达（信息、新闻等）；real       adj.实际存在的，非想象的；really     adv.真正地，事实上；dependable adj.可靠的，可信赖的；【谐音】赖二伯(reliable)"：依赖二伯，因为他很可靠。
successful|adj. 成功的，有成效的|Her second attempt at baking was a lot more successful .|她的第二次烘焙尝试要成功得多。|successful in 在...成功的|【辨析】success n.成功，胜利；succeed v.成功，达成；【谐音】谁可晒死否(successful)"：那就是成功的啦！
spin|n. （高速）旋转；v. （快速）旋转；（使）急转身|The figure skater is spinning on ice.|花样滑冰选手正在冰上旋转。|spin off 分拆；spin out 拖长 , 消磨；put a good spin 美化；spin a yarn 编故事|【辨析】spun  v.（使）旋转；span  n.时间跨度，一段时间；spit  v.啐唾沫（常表示愤怒或鄙视）；spite n.恶意，怨恨；【谐音】丝(s)拼(pin)"：把丝拼在一起就是纺纱。纺纱时纺锤要旋转，齿轮在疾驰。；【变形】过去式：spun；过去分词：spun；现在分词：spinning
temperature|n. 温度|The temperature today is five degrees lower than yesterday.|今天的气温比昨天低五度。|take a temperature 量体温，测温度；have temperature 发烧|【辨析】temporary adj.暂时的，临时的；temper    n.坏脾气，暴躁脾气；【谐音】谈破车(temperature)"：破车里的温度太低了。
careful|adj. 小心的；细致的|Be careful ! Look both ways before you cross the road.|小心！过马路前要左右看看。|you should work careful 你要工作仔细点|【辨析】care     n.照料，护理；careless adj.粗心大意的，疏忽的；【谐音】可否(care)福(ful)"：要小心谨慎。
oversee|v. 监督，监视|His job is to oversee the production process.|他的工作职责是监督产品生产。||【辨析】overhear  v.无意中听到，偷听到；oversight n.监督；overlook  v.忽视，忽略；【谐音】欧沃（over）see"：监督工作就是要经常去看（see）。；【变形】过去式：oversaw；过去分词：overseen
statistic|n. 统计数据；统计学（statistics）|Statistics show that women tend to live longer than men.|数据表明女性寿命要长于男性。|statistics bureau 国家统计局|【辨析】statistical adj.统计的，统计学的；statistics  n.统计学；status      n.法律地位（或身份）；state       n.状态，状况
combative|adj. 好斗的，好争论的|He was in a combative mood and refused to make any concessions.|他斗志昂扬，拒绝作出任何让步。||【辨析】combat     n.战斗，搏斗；compatible adj.兼容的
standard|adj. 标准的，正常的；n. 规范；行为标准|We aim to maintain high standards of customer care.|我们的宗旨是始终以高标准为顾客服务。|National standards 国家标准|【辨析】stand v.站立，直立
terrorist|n. 恐怖分子|He was kidnapped by a terrorist group.|他被一个恐怖组织绑架。|a sitting duck 瓮中之鳖;待毙|【辨析】terror    n.惊恐，恐惧；territory n.领土，版图，领地；terrible  adj.糟糕的，令人极为不快的；terrify   v.使害怕，使恐惧
flag|n. 旗帜|What does the flag of Italy look like?|意大利的国旗是什么样的？|kept the flag flying 为国争光|【辨析】flat adj.平的，水平的；【谐音】扶栏杆儿(flag)"：扶住旗帜才不会倒。
your|det. 你（们）的|I like your dress.|我喜欢你的连衣裙。|it comes down to 归根结底是|【辨析】you   pron.你；yours pron.你（们）的东西；【谐音】哟(your)"：年轻人，这是你的啊？！
follow|v. 跟随；遵循|Follow me please. I'll show you the way.|请跟我走。我来给你带路。|follow up 追究，追查，采取进一步行动；follow through 把。。。进行到底，完成|【辨析】fellow    n.小伙子，家伙；yellow    adj.黄的，黄色的；following adj.之后的，接下来的；flow      v.流动，流淌；allow     v.允许，准许；low       adj.低的，矮的；swallow   v.吞下，咽下；flower    n.花，开花植物；【谐音】发喽(follow)"：跟随别人就能发财。
provide|v. 提供，给予|We are here to provide a service for the public.|我们来这里是为公众服务。|provide for 规定；为……做好准备；provide against 为……做好准备，预防；provide sb with sth 给某人提供某物；provide oneself 自备；自办；French window 落地窗|【辨析】provided conj.假如，只要，在……条件下；prove    v.证实，证明；prevent  v.阻止，阻碍；【谐音】破外衣的(provide)"：穿破外衣的人很穷，需要我们提供帮助。；【变形】现在分词：providing
ours|pron. 我们的|The Smiths are neighbors of ours .|史密斯一家是我们的邻居。|ours our 我们|【辨析】our det.我们的；【谐音】啊我斯(ours)"：啊，这是我们的。
talented|adj. 有才干的；有天赋的|The film has talented actors, but the plot is poor.|这部电影里的演员才华横溢，但情节乏善可陈。|telented star - 实力派明星。|【辨析】talent n.天赋，才能；tale   n.故事，传说；patent n.专利（权），专利证书；【谐音】他能踢的(talented)"：他能踢球，是有才能的。
reception|n. 接待；接纳；前台|Please report to the reception on arrival.|请您在抵达后立即在接待处报到。||【辨析】recession  n.（经济的）衰退（期）；receptive  adj.（对观点、建议等）愿意倾听的，乐于接受的；perception n.看法，认识；reputation n.名誉，名声；receipt    n.发票，收据；recipient  n.<正式>接受者，领受者；receive    v.得到，收到；reject     v.拒绝，否决（提议、建议或请求）
scratch|v. 划破；挠；n. 划伤；搔痒；刮擦的刺耳声|The dog scratched itself behind the ear.|狗用爪子挠挠耳后。|scratch off 随便写，草草地写；Start from scratch 从头开始；scratch the surface 杯水车薪；from scratch 从头开始|【辨析】stretch v.（使）变大，拉长；sketch  n.素描，速写，草图；script  n.剧本，讲稿；screw   n.螺丝（钉）
bore|v. 使…厌烦|He bored us all by talking for hours about his new house.|他连续几个小时大谈他的新房子，使我们大家都厌烦透了。|bear the burden of 承受…的后果；bore into 盯着看；钻穿：；bear someone a grudge 对某人心怀怨恨；bear fruit 实现：得出满意的结论或实现愿望|【辨析】bare   adj.赤裸的；bored  adj.无聊的，厌倦的；born   adj.天生的，生来就有的；boring adj.令人厌烦的；bear   v.手持，携带
federal|adj. 联邦（制）的；联邦政府的|The federal government has invested a lot to improve the transportation problem.|联邦政府投入了大量资金来改善交通问题。|federal government 联邦政府 adjustable. 联邦的；federal court 联邦法院；federal law 联邦法律；federal funds 联邦资金；federal budget 联邦预算|【辨析】funeral n.葬礼，丧礼；fatal   adj.致命的；【谐音】肥的肉(federal)"：联邦政府拥有丰富的资源。
pressing|adj. 紧急的，迫切的；难以推却的|The most pressing question is how to survive the economic crisis.|最紧迫的问题是如何度过经济危机。||【辨析】press      n.新闻工作者，新闻界（the press）；impressive adj.给人印象深刻的，令人钦佩的；depress    v.使抑郁，使沮丧；impress    v.使钦佩，使留下深刻印象；express    v.表达，表露；【谐音】泼醒(pressing)"：泼醒他，考研在即，紧迫地学习！
through|prep. 穿过；通过；由于；自始至终；adv. 穿过；直达；彻底；自始至终|The bullet went straight through him.|子弹从他身上穿了过去。|look through 仔细查看；put through 完成、提出、接通|【辨析】throughout prep.遍及，到处；thorough   adj.彻底的，全面的；though     conj.虽然，尽管；thought    n.想法，看法，主意；thoroughly adv.完全地，极度地；thoughtful adj.体贴入微的，考虑周到的；【谐音】思路(through)"：凭借清晰的思路，穿过困难，自始至终都很清醒。
league|n. 联盟，协会；（体育）联赛|United were league champions last season.|联队是上个赛季的联赛冠军。|in league with 与...联合；be in league with 与... ... 勾结；for League 为了联盟|【辨析】leak      v.渗入，漏出；colleague n.同事，同僚；lecture   n.讲座，讲课，演讲；language  n.语言，语言文字；legend    n.传说，传奇故事；legal     adj.法律允许的，合法的；college   n.大学，专科学校；【谐音】立个(league)"：立个条约，我们来联盟。
last|adv. 最后；最近，上一次；n. 最后来的人（或事），仅剩下的部分；v. 持续；adj. 最后的；上一个的；仅剩下的；最不可能的|Did you see the talent show on TV last night?|你昨晚看电视上的选秀节目了吗？|In the last resort 大不了；last for 持续；延续 at last 最后；终于 last year 去年 in the last 在最后；[法]在终审时 at the last 直到最后；may not last 不会持久|【辨析】least   adj.一点儿；late    adj.晚期的，末期的；later   adv.后来，随后；lasting adj.持久的，耐久的；latter  adj.（两者之中的）后者的
tea|n. 茶（叶），茶（水）|Let's have scones with our tea .|我们吃点司康配茶。|medical tea 冲剂|【辨析】sea    n.海洋；teach  v.教授，讲授；tease  v.取笑，嘲笑；teapot n.茶壶；【谐音】提(tea)"：提壶茶过来。
possession|n. 拥有；个人财产|The gang was caught in possession of stolen goods.|这伙人被逮住，人赃俱获。|in possession of 拥有，占有；Johns Hopkins University School 约翰霍普金斯大学医学院；in possession of sth 拥有某物；possession of 拥有占有|【辨析】possessive adj.占有欲强的，有控制欲的；possess    v.<正式> 拥有，持有；procession n.（人或车辆的）行列，队伍；position   n.位置，地点；【谐音】破财神(possession)"：即使是破财神也拥有一些财产。
gun|n. 枪|He raised his gun and fired at the great beast.|他举起枪朝巨兽射去。|gun for 竭力争取；gun for sth 竭力争取；jut out 伸出|【辨析】sun n.太阳（the sun）；run v.奔跑；guy n.<非正式>男人，家伙；gym n.体育馆，健身房
organism|n. 有机体，生物|The human body is a very complex organism .|人体是非常复杂的机体。||【辨析】organic      adj.有机的，绿色的；organ        n.（人体或动植物的）器官；organization n.组织，机构；【谐音】鹅肝(organ)学科(ism)"：研究器官的生物体。
predict|v. 预言，预告|Nobody could predict the outcome.|谁也无法预料结果如何。|weather forecast 天气预测，天气预报|【辨析】product    n.产品，制品；prediction n.预言之事，预报之事；project    n.项目，计划；protect    v.保护，防护；credit     n.信用，信贷，赊购；【谐音】提前(pre)递给(dict)"：预测他会需要。
person|n. 人，个人|He's a fascinating person .|他是个魅力十足的人。|in person 亲自；in the person of 代表，以...的身份|【辨析】personal    adj.个人的，私人的；personnel   n.（公司、组织或军队中的）全体人员，员工；poison      n.毒药；period      n.一段时间，时期；prison      n.监狱，牢房；pension     n.养老金，退休金；present     adj.（人）在场的，出席的；personality n.个性，性格；【谐音】怕神(person)"：人当然怕神。；【变形】复数形式：people/persons
pull|v. 拉，拖；吸引；n. 拉，拽，扯|Don't pull so hard or the handle will come off.|别太使劲拉，不然把手会脱落。|pull up to 赶上；pull up short 突然停止；pull oneself free 挣脱；pull sb up 使...愣住|【辨析】pill n.药片，药丸；full adj.满的，满是……的；dull adj.枯燥无聊的；put  vt.放，安置；pool n.游泳池；push v.推，按；pour v.倾倒，倒出；roll v.（使）翻滚，滚动；doll n.洋娃娃，玩偶；poor adj.贫穷的；【谐音】噗(pull)"：联想上厕所时拉出来的声音。
warfare|n. 战争；斗争|The dispute could develop into open warfare .|争执可能会发展成为公开的战争。|wage warfare with 与……作斗争 fare 使…化|【辨析】welfare n.幸福，安康；fare    n.交通费用；【谐音】我烦(warfare)"：战争确实让人烦恼！
than|conj. 比（…多或少）；prep. 比（…多或少）|There was more whisky in it than soda.|那里面的威士忌比苏打水多。|rather than 一·····就·····；rather then 而不是|【辨析】then  adv.（指过去）当时，（指将来）到那时；that  det.那，那个；them  pron.他们；they  pron.他们；this  pron.这，这个；there adv.在那里；those det.那些（that 的复数）；these det.这些（this 的复数）；their det.他们的；【谐音】站(than)"：站着进行比较。
hall|n. 大厅；礼堂|She ran into the hall and up the stairs.|她跑进门厅，冲上楼梯。|shock treatment 休克疗法|【辨析】hill  n.山丘，小山；call  v.给……取名；tall  adj.高的，高大的；wall  n.城墙，围墙；ball  n.球，球状物；mall  n.购物中心，步行商业区；fall  v.降落，落下；shall aux.将要，将会（同I和we连用，表示将来）；【谐音】好!(hall)"：礼堂的大厅真大啊！
whisper|v. 耳语；秘密告诉；沙沙作响；n. 耳语；轻柔的声音；传言|The children were whispering in the corner.|孩子们正在角落里低声耳语。|being whispered 在流传；heard a whisper 听到一个传闻；in a whisper 小声说|【辨析】whistle n.哨子；whisky  n.威士忌酒；whip    n.鞭子，皮鞭；worship v.敬奉（神）
gardener|n. 园丁|He's not much of a gardener .|他不太擅长园艺。||【辨析】gender    n.性别；carpenter n.木匠，木工；guardian  n.监护人
nephew|n. 侄子，外甥|She took her three-year-old nephew down to the beach with his bucket and spade.|她带着她的三岁侄儿一路向沙滩走去，手里拿着桶和小铲子。|nephew and niece 侄女侄子联系记好啊|【辨析】niece n.外甥女，侄女；【谐音】那feel(nephew)"：那感觉是我侄子。
await|v. 等候|The soldiers await their command.|士兵们等待命令。|long-awaited guest 盼望已久的客人|【辨析】waist n.腰，腰围；【谐音】额，为特(await)"：为了他等待。
rug|n. 小地毯；小毛毯|It is warm and comfortable in winter if you put a sheepskin rug on your wooden floor.|冬天里在木板上铺一块羊皮垫子，既温暖又舒适。|Bind the edge 镶边|【辨析】rag   n.抹布，破布；bug   n.<美>昆虫，虫子；mug   n.大杯，马克杯；tug   v.（用力地）拉，拖，拽；hug   v.拥抱；rub   v.擦，磨擦；shrug v.（表示不知道或不感兴趣）耸（肩）；plug  n.（电）插头；【谐音】褥搁(rug)"：把褥子铺在地上，就成了地毯。
oily|adj. 含油的；油腻的|The sparks set fire to the oily rag.|火花使浸透油的破布燃烧起来了。|an oily tongue 甜言蜜语,阿谀奉承...|【辨析】oral adj.口头的，口述的；【谐音】哦腻(oily)"：感觉油腻的样子。；【变形】比较级：oilier；最高级：oiliest
candy|n. 糖果|Do you want to buy a box of candy ?|你想买盒糖吗？|soft candy 软糖 sugar 食糖，白砂糖；candy cane 棒棒糖；gum up the works 使机器不能开动；使制度不能实行；弄坏；搞乱；be gummed up with 被。。粘住了|【辨析】candle n.蜡烛；【谐音】看滴(candy)"：这些糖果是用来看的，不是用来吃的。；【变形】复数形式：candies
laziness|n. 懒惰|It was sheer laziness that led to his failure in business.|他生意失败完全是懒惰造成的。|Subsidies laziness 滋生了惰性|【谐音】累人那事(laziness)"：那件事太累人了，所以大家都懒得干。
communism|n. 共产主义|They believed that the ultimate triumph would belong to communism .|他们相信最终的胜利将属于共产主义。|communism with Chinese characteristics 有中国特色的社会主义；Communist Party of China 中国共产党|【辨析】communist     n.共产主义者，共产党党员；commune       n.社群，群体；communicative adj.爱说话的，健谈的
recyclable|adj. 可回收利用的|To meet environmental protection requirements, these handbags are made of recyclable materials.|为了满足环保要求，这些手提袋都是由可回收材料制成的。|recyclable items 可回收的东西|【辨析】renewable adj.（合同、协议等）可延期的，可续期的；【谐音】热塞克薄(recyclable)"：重新塞进去看似刻薄，实为可循环利用的。
justice|n. 公正，正义；法官；司法|They are demanding equal rights and justice .|他们要求平等的权利和公正的待遇。|with justice 正当地；freedom and justice 自由和公正；to do sb justice 为某人说句公道话；be governed by 被。。。制约|【辨析】justify v.是……的正当理由；just    adv.正好，恰好；【谐音】就事提事(justice)"：公正、正义。
dignify|v. 使有尊严，使高贵|The principal was there to dignify the activity.|校长的光临是为活动增辉。||【辨析】dignity n.尊严，自尊；signify v.意味着，象征；【谐音】的哥你发(dignify)"：的哥发财了，使生活有尊严。；【变形】过去式：dignified；过去分词：dignified
clear|adj. 清楚的，清晰易懂的；晴朗的；明净的；adv. 不靠近地；完全地；v. 变晴；变清楚；使明净；清除；绕过；使清白|Are these instructions clear enough?|这些说明够清楚了吗？|clear out 走开；把…清出；办理海关出口手续；keep clear of 避开；stand clear 站开,避开；Innominate Term 无名条款；make it clear that 弄清楚|【辨析】clean adj.洁净的，干净的；【谐音】颗粒儿(clear)"：小颗粒看得清楚。
worm|n. 蠕虫；蠕虫病毒；v. 蠕动，曲折行进|The dog has worms .|这条狗体内有寄生虫。||【辨析】warm adj.暖和的，温暖的；worn adj.用坏的，用旧的；warn v.提醒，使警惕；germ n.病菌，细菌；【谐音】卧木(worm)"：虫子卧在木头上。
apple|n. 苹果|Many people have heard this saying of "an apple a day keeps the doctor away".|许多人都听说过“一天一苹果，医生远离我”这句话。|compare apples and oranges 不能相提并论的 。comparing lady gaga and brad pitt is like comparing apples and oranges .她们是完全不同的人，是不能相提并论的。；apple of her eye 掌上明珠；be familiar with 对什么熟悉|【辨析】ample     adj.充足的，充裕的；grape     n.葡萄；pineapple n.[园艺] 菠萝
peril|n. 危险，威胁；险情|He managed to survive in spite of great peril and personal suffering.|虽然处境非常危险且历尽磨难，他还是成功地挺过来了。|at one's peril 自己担风险；at your peril 冒险|【辨析】perish   v.（人或动物）惨死，猝死；per      prep.每，每一；perilous adj.危险的，艰险的；pearl    n.珍珠；【谐音】派肉(peril)"：给陌生狗派肉很危险。
academician|n. 院士；学会会员|He became an academician of Chinese Academy of Sciences in his 40s.|他四十多岁成为了中科院院士。||【辨析】academic adj.学业的，学术的；academy  n.专科院校；【谐音】一个院士(academician)"：一位学者开车掉进了一米深的坑里。
whole|adj. 全部的，整体的；完好无损的；n. 整个；全部；adv. 完全地|He spent the whole day writing.|他整整写了一天。|on the whole 总的来说；as a whole 作为一个整体，整个看来；anxious for 渴望；entire - 整个的。|【辨析】whale n.鲸；while conj.当……的时候；wheel n.轮子，车轮；【谐音】谁(who)乐(le)"：完整了谁都乐。
brandy|n. 白兰地|We have drunk too much brandy.|我们喝了太多的白兰地。||【辨析】brand   n.品牌，商标；branch  n.树枝，分枝；blend   v.（使）混合，调和；frank   adj.坦率的，直言不讳的；blunder v.跌跌撞撞地走，摸索；【谐音】不烂滴(brandy)"：品质好的白兰地。
authorization|n. 授权，批准|You need special authorization to use this theater.|你需要特别授权才能使用这个剧院。||【辨析】authoritative adj.专断的，命令式的；authorize     v.批准，许可；【谐音】贼神(authorization)"：授权后就变得很厉害。
silky|adj. 丝绸般的；柔软光滑的；流畅的|He dances with silky moves.|他跳舞时的动作很流畅。|milky silky 又白又嫩又滑|【辨析】milky adj.像奶的，如奶般的；【谐音】丝柔可以(silky)"：像丝绸一样柔滑的质地。；【变形】比较级：silkier；最高级：silkiest
nightly|adj. 每晚的；adv. 每夜|My husband and I watch the nightly news broadcast everyday.|我丈夫和我每天都看晚间新闻。|nightly news 晚间新闻|【辨析】knight n.骑士，武士
notice|n. 注意，通知；v. 注意，意识到|Take no notice of what he says.|别理会他说的话。|come into notice 引起注意；give notice 通知 have notice 接到通知|【辨析】noise n.噪音，嘈杂声；【谐音】no提示(notice)"：没有提示，所以要注意、留心，可能有通知！；【变形】现在分词：noticing
symbolical|adj. 象征性的；符号的|The power of the monarchy in Britain today is more symbolical than real.|今日英国君主的权力多为象征性的，无甚实际意义。||【谐音】森波里扣(symbolical)"：用符号来表达，具有象征性的。
mall|n. 购物中心|Let’s meet at the mall and go shopping.|我们在购物中心见面然后去购物吧。|shopping mall 购物中心；all manner of 各种，形形色色（人，东西）|【辨析】tall adj.高的，高大的；call v.给……取名；hall n.礼堂，大厅；ball n.球，球状物；【谐音】猫(mall)"：猫在购物中心里。
punishment|n. 惩罚，处罚|Officials convicted of corruption will receive tough punishment .|被判贪污罪的官员将受到严厉的处罚。||【辨析】punish v.处罚，惩罚（做错事或犯法的人）；【谐音】扑你是门(punishment)"：惩罚你是一门学问。
forehead|n. 额头，前额|He's got a high forehead .|他的额头很高。||【辨析】foresee    v.预见，预知；forecast   v.预测，预报；overhead   adv.在头顶上方，在空中；beforehand adv.事先，预先，提前；head       n.头；foremost   adj.最前的，最重要的；ahead      adv.在前面，朝前面
lap|n. 大腿部；（跑道）一圈|She sat with her hands in her lap .|她双手放在大腿上坐着。|lap up 热切地接受，欣然接受；on one's lap 膝蓋上；lap dog 哈巴狗；in someone's lap 作为某人的职任；lap top - laptop 手提电脑，估计也是这样来的，手提电脑可以放在大腿上面使用，方便而轻便，于是。。。|【辨析】lip    n.嘴唇；clap   v.拍手，鼓掌；laptop n.膝上型计算机，便携式电脑（=laptop computer）；【变形】过去式：lapped；过去分词：lapped；现在分词：lapping
party|n. 派对；政党|She belongs to the Labour Party .|她是工党党员。|spry old party 老当益壮之人；party members 党员；a party 一个小分队；both parties 双方；the other party 对方|【辨析】part    n.部分；partner n.（跳舞、玩游戏等的）搭档，同伴；apart   adv.（空间或时间）相隔，相距；【谐音】怕踢(party)"：害怕被踢就不要参加聚会。；【变形】过去式：partied；过去分词：partied；复数形式：parties
patience|n. 耐心，忍耐力|People have lost patience with the slow pace of reform.|人们对改革的缓慢速度已失去耐性。|have no patience with 不能容忍|【辨析】patient    adj.能忍耐的，有耐心的；impatience n.不耐烦，无耐心；patent     n.专利（权），专利证书；impatient  adj.不耐烦的，没有耐心的；【谐音】陪审(patience)"：需要耐心的工作。
fireplace|n. 壁炉|Every room in the house has a fireplace .|每个房间都有一个壁炉。||【辨析】furnace n.火炉，熔炉；【谐音】火(fire)地方(place)"：烧火的地方，即壁炉或火炉。
vacancy|n. （职位）空缺；空房|The jobless man searched the newspapers everyday for job vacancies .|这名失业者每天在报纸上寻找刊登的职位空缺信息。|vacate v 空出 重音在后面；we can see 我们能看见 大片大片的 空白，这样子居然还可以过关，新浪表示 鸭梨 很大。；fill a vacancy 补缺；填补空白|【辨析】vacant   adj.（地方）空着的，无人用的；vanity   n.虚荣（心），自负；vicinity n.周围地区，邻近地区，附近；vocation n.（认为某种职业适合自己的）使命感；vacuum   n.真空，真空容器；【谐音】we can see(vacancy)"：空缺我们都看得见。；【变形】复数形式：vacancies
earnest|adj. 诚实的，真诚的|The cold-blooded man turned down her earnest plea for help.|这个冷血的男人拒绝了她诚恳的求助。|in earnest 认真，诚心；be in earnest 认真的，真诚的|【辨析】earn v.赚得，挣钱
supporter|n. 支持者|He's a self-professed supporter of economic reform.|他自称是经济改革的支持者。|I'm real a stinker 我真是一个卑鄙小人|【辨析】supportive adj.支持的，拥护的，给予帮助的；supplier   n.供应商，供应者；【谐音】死波特(supporter)"：哈利波特有很多拥护者。
remember|v. 记得；想起；纪念|I don't remember my first day at school.|我已经忘了第一天上学（的情景）。|remember doing 记得做过的事 remember to do 记得去做；remember doing sth 记得做过的事情；remeber doing 记得做过某事；remember to do sth 记得去做某事|【辨析】member n.成员，一分子；【谐音】若慢播(remember)"：如果广播慢一点，就容易记住了。
appear|v. 似乎，显得；显现；首次出现|He appears a perfectly normal person.|他看上去完全是个正常的人。|appear to be 看起来好像；appear to 似乎，好像|【辨析】appeal     n.呼吁，恳求；apple      n.苹果；disappear  v.消失，不见；appearance n.露面，演出；apply      v.申请；apparent   adj.显而易见的，易懂的；【谐音】一梨(a pear)"：一个梨出现了。
tiny|adj. 极小的，微量的|Only a tiny minority hold such extreme views.|只有极少数人持这样极端的观点。||【辨析】tidy    adj.整洁的，有条理的；thin    adj.薄的，细的；destiny n.命运，定数；tight   adj.（衣物）紧身的，紧贴的；【谐音】太迷你(tiny)"：形容东西小得让人着迷。；【变形】比较级：tinier；最高级：tiniest
egg|n. （鸡）蛋，卵|The female bird sits on the eggs until they hatch.|雌鸟伏在蛋上直到其孵化。
napkin|n. 餐巾（纸）|He made a rose with a paper napkin .|他用纸巾折了朵玫瑰。|in a napkin 才华被埋没|【辨析】nap     n.（尤指在白天）小睡，打盹；pumpkin n.南瓜，倭瓜；【谐音】男不肯(napkin)"：男侍应不肯折叠餐巾。
lodging|n. 寄宿（处）|He was given free lodging .|他得到了免费住宿。|board and lodging 食宿|【辨析】lodge v.（使）固定，（使）卡住；【谐音】落脚(lodging)"：寄宿的地方。(lodge: 存放、借宿、小舍、传达室)
tame|adj. 驯服的；乏味的；愿意合作的；v. 驯服；使缓和|You should think twice before releasing a tame bird into the wild.|在把这只家养的鸟放归自然之前，你应该三思。||【辨析】fame n.名誉，名气；【谐音】太木(tame)"：太木讷了，所以容易驯服。；【变形】现在分词：taming
social|adj. 社会的；社交的；一定社会级别（或地位）的|He often takes part in social events on the weekend.|他通常在周末参加社交活动。|social news 社会新闻；social medical security 社会医疗保障；social status 社会结构／模式；social gathering 社交聚会|【辨析】socialist adj.支持社会主义的，与社会主义有关的；society   n.社会（以群体形式生活在一起的人的总称）；【谐音】收手(social)"：在社会上混，要学会适可而止。
