fraction|n. 少量，小部分|The average income is high, though many people earn just a fraction of that average.|平均收入很高，但是很多人赚的只有平均工资的一小部分。|irrational fraction 假分数|【辨析】friction n.不和，分歧；function n.功能，职责；faction  n.派系，宗派；fracture n.破裂，断裂；section  n.段，部分；portion  n.（某物的）一部分；fragile  adj.易碎的，易损的；fragment n.碎片；【谐音】翻个身(fraction)"：只有小部分人能翻个身。
fascinate|v. 使着迷，强烈地吸引|China has always fascinated me.|中国一直令我心驰神往。|be fascinated with sth 对..着迷|【辨析】facilitate v.使更容易，使便利；【变形】现在分词：fascinating
enforce|v. 强制执行；v. 迫使|The legislation will be enforced in six months.|这一法规将于半年后实施。||【辨析】enforcement n.执行，实施；enhance     v.增强，提高，改善；reinforce   v.加强，强化（观点、思想或感觉）；【谐音】赴死(enforce)"：不惜赴死也要执行完成任务的指令。；【变形】现在分词：enforcing
capacity|n. 能力；n. 容量；n. 生产量；n. 职位|The theatre has a seating capacity of 2000.|那座剧院能容纳2000名观众。|At full capacity 竭尽全力；spare capacity 闲置的生产能力|【辨析】capability n.能力，才能；captain    n.队长，首领；capital    n.资本，资金；capable    adj.有能力的；ability    n.能力，能够；capture    v.俘获，捕获；【谐音】可怕的城市(ca-pa-city)"：有大容量、强能力、高地位和资格。；【变形】复数形式：capacities
intention|n. 意图，目的|I have no intention of going to the wedding.|我无意去参加婚礼。|intention to 神马神马意图|【辨析】invention  n.发明物；attention  n.注意；invitation n.邀请；tension    n.紧张，焦虑；extension  n.延伸，扩展；intend     v.打算，想要；intense    adj.很大的，十分强烈的；instinct   n.本能，天性；【谐音】阴探身(intention)"：偷偷探身，表示有意图或打算。
signature|n. 签名；n. 鲜明特征|Someone had forged her signature on the cheque.|有人在支票上伪造了她的签名。|signature dish 招牌菜|【辨析】signal       n.信号，暗号；sign         n.指示牌，标志；significant  adj.显著的，相当数量的；significance n.重要性，意义；【谐音】写个(sig)自然(nature)"：写下自己的签名很自然。
assign|v. 指派；v. 分配；v. 把…归属于；v. 留出|The teacher assigned several tasks to the students.|老师给学生们布置了几项任务。|assign to 分配给。。。，分配到|【辨析】sign       n.指示牌，标志；resign     v.辞（职），放弃（工作或职位）；design     n.设计，布局，安排；assignment n.作业，任务
qualify|v. 使有资格；v. 合适；v. 配得上|We qualified for the final by beating Stanford in previous rounds.|我们在前几轮中击败了斯坦福队，取得了决赛资格。|qualify for 取得。。。（职位)的资格|【辨析】quality     n.质量，品质；qualified   adj.具备……的学历（资历）的；quantify    v.测定……的数量，用数量表示，量化；quantity    n.量，数目；qualitative adj.质量的，定性的，性质的；【谐音】快乐飞(qualify)"：具有资格就能快乐飞翔。；【变形】过去式：qualified；过去分词：qualified
adoption|n. 收养；n. 采纳|He was pleased by the adoption of a little girl.|他对收养了一个女孩感到高兴。|an adopted son 养子；adoption process 采购程序，采用过程|【辨析】abortion n.流产，堕胎；adopt    v.收养；adapt    v.适应
estate|phrase. （real estate）房地产；n. 庄园；n. 财产|He left estate valued at a million dollars.|他留下了价值100万美元的遗产。|succeed to 继承；housing estates 居民区 estate agent 房地产经纪人；real estate 不动产，房地产|【辨析】state    n.状态，状况；estimate v.估计；statue   n.（石或金属做的动物或人的）雕像；status   n.法律地位（或身份）；【谐音】一世待的(estate)"：一辈子居住的地方，是庄园，是自己的财产。
purity|n. 纯净；n. 纯洁；n. 纯正|Water purifier can increase the purity of tap water.|净水器可以提高自来水的纯净度。||【辨析】purify  v.使（某物）洁净，净化；pure    adj.纯的，不掺杂质的；poverty n.贫穷，贫困；【谐音】漂亮滴(purity)"：纯洁的东西往往是漂亮的。
respond|v. 作出反应；v. 回复；v. 响应|She never responded to my letter.|她从来没给我回过信。|respond to 对...有反应，对...作出回答，服从，响应；community respond 社会反应|【辨析】response    n.反应，响应；respect     n.尊敬，敬重；correspond  v.类似于，相当于；responsible adj.（对某人、某事）负责的；return      v.回来，回去；reply       v.回答，答复；【谐音】累死邦德(respond)"：007累死后就再也没有回应了。
alteration|n. 改变，变更|The timetable is subject to alteration .|时刻表有可能更改。||【辨析】alternation n.交替，轮流，间隔；alternate   v.（使）交替，（使）轮流；alternative n.可供选择的事物，替代物；alter       v.改变，改动；【谐音】奥特雷神(alteration)"：奥特曼变更成了雷神，体现了改变或变更的含义。
primarily|adv. 主要地；adv. 首先|The advertisement is aimed primarily at housewives.|这则广告的对象主要是家庭主妇。||【辨析】priority    n.优先事项，最重要的事；primitive   adj.原始的，远古的；privacy     n.隐私，秘密；preliminary adj.初步的，预备的；prime       adj.主要的，首要的；【谐音】派Mary来(primarily)"：首先最主要的就是派Mary来。
pessimistic|adj. 悲观（主义）的|He is often criticized by his friends for his pessimistic view of life.|他悲观的人生观经常被朋友们批评。||【辨析】pessimist  n.悲观主义者；optimistic adj.乐观的，乐观主义的；pessimism  n.悲观，悲观情绪；【谐音】怕生(pessi)错误(mistic)"：干啥都怕出错，悲观的。；【��片】adj. 悲观的
suspect|n. 嫌疑犯；v. 怀疑；v. 推测；adj. 不可信的，可疑的|Suspecting nothing, he walked right into the trap.|他毫无觉察，径直走入陷阱。|be suspected in 被怀疑；prime suspect 嫌疑重犯；主要嫌疑犯|【辨析】suspend    v.暂停，中止；inspect    v.检查，审视；respect    n.尊敬，敬重；aspect     n.方面，特色；prospect   n.可能性，希望；expect     v.期待；suspicion  n.不好的预感，猜想；suppose    v.推断，料想，猜想；suspicious adj.感觉可疑的，怀疑的；suspension n.暂停，中止
whisper|v. 耳语；n. 耳语；n. 轻柔的声音；n. 传言；v. 秘密告诉；v. 沙沙作响|The children were whispering in the corner.|孩子们正在角落里低声耳语。|being whispered 在流传；heard a whisper 听到一个传闻；in a whisper 小声说|【辨析】whistle n.哨子；whisky  n.威士忌酒；whip    n.鞭子，皮鞭；worship v.敬奉（神）
parade|n. 游行；n. 阅兵；v. 游行；v. 招摇过市；v. 列队行进|The circus performers and animals paraded down Main Street.|马戏团的演员们和那些动物沿着主街游行。|parade route 游行路线；a military parade 军事检阅；a parade of 一群……；dress parade 时装表演；parade ground 阅兵场|【辨析】paradox  n.矛盾的人（或事物、情况）；parallel adj.平行的；pride    n.自豪（感）；【谐音】颇累的(parade)"：游行和炫耀都很累人。；【变形】现在分词：parading
stem|v. 起源于；n. 茎，梗；n. 柄；v. 阻止|She bought some roses with long stems .|她买了一些枝干很长的玫瑰花。|stem from 起源于；frome sth 起源于；from stem to stern 从头到尾；从船头到船尾；stem cells 干细胞|【辨析】item  n.项目，条款；stern adj.（人或其态度）严厉的，认真的；stalk n.（植物的）茎，秆；stall n.货摊，贩卖处，咨询台；【变形】过去式：stemmed；过去分词：stemmed；现在分词：stemming
prompt|v. 促使；adj. 迅速的；n. 提词，提示；v. 引起；adj. 立刻的；adj. 准时的|Prompt action was required to prevent it from becoming worse.|为防止事情进一步恶化，须立即采取行动。|prompt attention 及时关注，从速办理|【辨析】promote v.促进，提倡；【谐音】破摩托(prompt)"：破摩托车跑得很快，迅速。；【变形】比较级：prompter；最高级：promptest
evil|n. 邪恶；adj. 恶毒的，邪恶的；n. 丑恶现象；n. 罪恶|Police described the killer as 'a desperate and evil man'.|警方把凶手描述为“一个绝望且邪恶的人”。|speak evil of 讲…的坏话；诽谤；中伤|【辨析】veil  n.面纱，面罩；devil n.魔鬼；【谐音】一窝(evil)"：警察找到了一窝邪恶的罪犯。
assembly|n. 组装；n. 集会；n. 议会|The local assembly will hold a meeting this Friday.|地方议会将于本周五召开会议。|general assembly 会员大会；assembly shop 装配车间；assembly line 装配线; 流水作业线；assembly language 汇编语言|【辨析】assemble   v.（使）集合，（使）聚集；assume     v.假定，假设，认为；resemble   v.像，与……相似；assimilate v.融入，（使）同化；【变形】复数形式：assemblies
subtract|v. 减，减去|If you subtract 3 from 9, you get 6.|九减三得六。||【辨析】tract    n.（尤指宣扬宗教、伦理或政治的）短文，传单，小册子；attract  v.吸引；extract  n.选段，引文；abstract adj.抽象的，纯概念的；distract v.使分心，使转移注意力；contract n.合同，契约；tractor  n.拖拉机，牵引机
fertile|adj. 丰富的；adj. 肥沃的；adj. 能生育的|There are fertile fields in the Yangtze River Delta.|长江三角洲土地肥沃。|a fertile egg 受精卵|【辨析】textile    n.纺织物，织物；fertilizer n.肥料，化肥；filter     n.过滤器；【谐音】富态哦(fertile)"：土地肥沃的。
supervise|v. 监督；v. 指导|I supervised the workers loading the lorry.|我监督工人把货物装上卡车。||【辨析】supervisor   n.监督者，管理者；supervision  n.监督，管理；revise       v.改变，修正；superstition n.迷信；【谐音】树怕歪死(supervise)"：树怕长歪了死掉，所以要监督管理。；【变形】现在分词：supervising
suffer|v. 遭受；v. 受折磨；v. 变差|I hate to see animals suffering .|我不忍心看动物受苦。|suffer from 遭受（病痛 灾难等）|【辨析】suffering n.（内心或肉体的）痛苦，问题；supper    n.晚餐（尤指在家吃的非正式晚餐）；surf      v.上网；super     adj.<非正式>极好的，极优秀的；stuff     n.东西，物品；staff     n.全体员工，全体雇员；【谐音】睡沙发(suffer)"：睡沙发很不舒服，要忍受痛苦。
