eventual|adj. 最后的，最终的|It is impossible to predict what the eventual outcome will be.|无法预测最终结果。||【辨析】eventful   adj.充满大事的，多变故的；eventually adv.最终，结果；event      n.事件，大事；【谐音】一碗酒(eventual)"：最终的一碗酒。
background|n. 背景；经历|It is wrong to differentiate between people according to their family background .|根据出身不同而区别待人是不对的。||【辨析】ground     n.地，地面；playground n.（尤指学校或公园中的儿童）操场，游乐场；blackboard n.黑板；back       n.（房屋等建筑物或车的）后部，末尾；【谐音】白割让的(background)"：没有背景，白白放弃了。
innovate|v. 创新，革新|The film industry is always desperate to innovate .|电影行业总是竭尽全力地进行创新。||【辨析】renovate   v.修复，翻新（尤指建筑物）；innovative adj.革新的，新颖的；innovation n.新事物，新方法；innocent   adj.天真的，幼稚的；【谐音】in no way(innovate)"：没有路了就要创新。；【变形】现在分词：innovating
basic|adj. 基础的；初级的；必需的；n. （basics）基础；生活必需品|Salt is a basic necessity of life.|盐是一种基本生活必需品。||【辨析】basis     n.基础，要素；basin     n.盆；base      n.根基，底部；basically adv.基本上，大体上
cowboy|n. 牛仔|That boy likes cowboy movies very much.|那个男孩特别喜欢看牛仔片。|cowboy film 西部牛仔片|【辨析】coward n.胆小鬼，懦夫；【谐音】靠(cow)牛(boy)"：靠牛生活的男孩。
frost|n. 霜（冻）；严寒|It was so cold and the windows were covered with frost .|太冷了，窗户上都结了霜。||【辨析】front  n.前面；frog   n.蛙，青蛙；forest n.森林，林区；foster v.促进，培养
Buddhist|adj. 佛教（徒）的；n. 佛教徒|A Buddhist monk must shave his head.|佛教僧侣必须剃度。
plug|n. 插头；塞子；v. 堵，塞|I'll have to change the plug on my hairdryer.|我必须更换吹风机的插头。|plug in sth 插。。的插头，接通sth；plug and play 即插即用,这里plug是电插头的意思；ear plugs 耳塞；plug along 为生活而拼命工作；ear plug 耳塞|【辨析】plus   prep.加；plunge v.（使）突然向前倒下（跌落）；plague n.瘟疫，传染病；【谐音】怕拉个(plug)"：怕什么？怕插头！；【变形】过去式：plugged；过去分词：plugged；现在分词：plugging
deer|n. 鹿|A herd of deer was crossing the road.|一群鹿正在横穿马路。||【辨析】deed n.行为，行动；deep adj.深的，厚的；deem v.认为，相信；dear adj.珍视的；【谐音】迪尔(deer)"：迪尔家的鹿。；【变形】复数形式：deer
serve|v. 接待，服务；效力；端上；可用作…|Breakfast is served between 7 and 10 a.m.|早餐供应时间从7点到10点。|serve out 分发食物，饮料；serve as 作为 担当|【辨析】service  n.公共服务系统，公共事业；survey   n.民意调查，民意测验；servant  n.仆人，佣人；severe   adj.十分严重的，极为恶劣的；reserve  v.预订；deserve  v.值得，应受；observe  v.注意到，观察到；preserve v.保护，维护；【谐音】社服(serve)"：为社会提供服务。；【变形】现在分词：serving
excuse|n. 借口，辩解；（正当的）理由；v. 原谅；为…找理由；免除…的责任；准许…离开|There's no excuse for such behaviour.|这种行为说不过去。|excuse for 为什做解释。；make an excuse 找借口，编理由|【辨析】accuse v.控告，指控；【变形】现在分词：excusing
succeed|v. 实现目的，成功；接替；继承|He succeeded in getting a place at art school.|他被艺术学校录取了。||【辨析】success    n.成功，胜利；successful adj.成功的，如愿以偿的；【谐音】四个系的(succeed)"：掌握四个系的知识，就能成功并继承王位。
classification|n. 分类（法）；类别|The classification of the new species is still in debate due to their strange features.|新物种外形奇特，故对他们的分类仍在讨论中。|rough and ready 简陋的,马马虎虎的,勉强过得去的；classification system 分类系统，分类制度|【辨析】clarification n.澄清，阐明；specification n.规格，规范，明细单，说明书；qualification n.（通过考试或学习课程取得的）资格，学历；classified    adj.分类的，归类的；classical     adj.经典的，传统的；classify      v.把……分类，把……分级；【谐音】class分开上(classification)"：课程分类，不同等级。
