loan|n. 贷款；n. 借出；v. 借出|Jeff’s loaned us his car for the weekend.|杰夫把车借给我们周末用。|bad loan 呆账|【辨析】lean v.（身体）倾斜；load n.负载，重荷；loaf n.一条，一块（面包）；lane n.（乡间）小路；line n.线，线条；lend v.借给，借出；【谐音】楼(loan)"：买楼需要贷款。
association|n. 协会；n. 关联；n. 联想；n. 同时出现|They have maintained a close association with us.|他们和我们保持了紧密的联系。|association with 交往，结交；combination n 联合，联盟；in association with 与。。。合伙|【辨析】associate v.联想，联系；【谐音】爱送些爱心(association)"：这种行为会让人联想到慈善协会。
assignment|n. 任务；n. 分配|John worked on the class assignment for a whole night.|约翰写课堂作业写了一整晚。|on assignment for 为...工作，执行...的任务；personnel assignment 人员调配|【辨析】appointment n.约会，约定；assign      v.分派，布置（工作、任务）；【谐音】额塞满他(assignment)"：分配任务多得塞满了。
deliberate|adj. 故意的；v. 深思熟虑；adj. 从容不迫的|The speech was a deliberate attempt to embarrass the government.|这一发言蓄意使政府难堪。||【辨析】deliberately adv.故意地；liberate     v.解放，解救；delicate     adj.柔和的，清淡的；desperate    adj.不顾一切的，拼命的；elaborate    adj.复杂的，详尽的；dedicate     v.致力于，献身于；【谐音】地理不如他(deliberate)"：他的地理知识经过深思熟虑。；【变形】现在分词：deliberating
anniversary|n. 周年纪念日|Tomorrow is my seventh wedding anniversary .|明天是我结婚七周年纪念日。||【辨析】university n.大学，综合性大学；universal  adj.普遍的，全体的，全世界的；【谐音】爱你我送礼(anniversary)"：在周年纪念日送礼物。；【变形】复数形式：anniversaries
versus|prep. 与…相比；prep. 对抗|Today's game is France versus Brazil.|今天比赛是法国队对巴西队。||【辨析】verse   n.诗，韵文；census  n.（官方的）统计，人口普查；virus   n.病毒；virtue  n.高尚的道德，德行；reverse v.逆转，彻底改变（决定、政策、趋势等）；adverse adj.不利的，有害的；diverse adj.不同的，各式各样的；【谐音】我社死(versus)"：当你与同学对立时，就像社交尴尬。
quotation|n. 引语；n. 引证|The article began with a quotation from Mark Twain.|该文章引用了马克·吐温的一段话作为开篇。|quote vt 引述；举证；报价 n 引用；Mao Zedong Quotation 毛泽东语录|【辨析】equation n.等式，方程（式）；quota    n.定额，限额；【谐音】口太深(quotation)"：这个报价或引用的口子太深。
dorm|n. 宿舍|When I was in the six-bed dorm it was terribly noisy.|我住六人间宿舍时，环境很嘈杂。||【辨析】doom n.厄运，劫数；norm n.社会准则，行为规范；dome n.穹顶，圆屋顶；worm n.蠕虫；dose n.一剂，一服；【谐音】多门(dorm)"：集体宿舍一排排的门，形象描述了宿舍的特点。
governor|n. 州长；n. 统治者|Arnold Schwarzenegger served as governor of California.|阿诺·施瓦辛格曾担任加利福尼亚州州长。|late president 已故总统|【辨析】govern v.统治，管理；【谐音】搁我那(governor)"：在我们那里，行使统治权的人是州长、总督。
ounce|n. 盎司；n. 一点点|We all know there are 16 ounces in one pound.|我们都知道1磅等于16盎司。|an ounce of 一点.....
recommendation|n. 劝告，建议；n. 推荐信；n. 推荐|Here's a list of my top CD recommendations .|这是我认为最值得推荐的光盘清单。|letter of recommendation 推荐信；recommendation letter 推荐信；on one's recommendation 在某人的推荐下|【辨析】accommodation n.<美>住宿，膳宿；recommend     v.建议，劝告；【谐音】瑞克曼得升(recommendation)"：瑞克曼得到推荐升职。
lodging|n. 寄宿处|He was given free lodging .|他得到了免费住宿。|board and lodging 食宿|【辨析】lodge v.（使）固定，（使）卡住；【谐音】落脚(lodging)"：寄宿的地方。(lodge: 存放、借宿、小舍、传达室)
tame|v. 驯服；v. 使缓和；adj. 驯服的；adj. 乏味的；adj. 愿意合作的|You should think twice before releasing a tame bird into the wild.|在把这只家养的鸟放归自然之前，你应该三思。||【辨析】fame n.名誉，名气；【谐音】太木(tame)"：太木讷了，所以容易驯服。；【变形】现在分词：taming
reunion|n. 团圆；n. 重逢|We have a family reunion on a monthly basis.|我们家每个月都会团聚一次。|family reunion 家庭团聚 家庭大团圆；family reunion dinner 团圆饭；encounter is reunion 世间所有相遇都是久别【重逢】|【辨析】reunite v.（使）团聚，（使）重聚；union   n.联合，结合；onion   n.洋葱，洋葱头；【谐音】有你(union)"：重新(re)有你。
previous|adj. 先前的，上一个的|Do you have any previous experience of this kind of work?|你以前有过此类工作的经验吗？|unlike the previous stages 不像之前的那些个阶段|【辨析】previously adv.以前地，先前地；precious   adj.宝贵的，珍贵的；precise    adj.精确的，准确的；present    adj.（人）在场的，出席的
mental|adj. 精神的；adj. 智力的；adj. 发疯的|Do you have a mental picture of what it will look like?|在你脑子里它会是什么样子？|mental powers 智力|【辨析】manual      adj.手工的，体力的；metal       n.重金属音乐；mention     v.提到，谈到；mutual      adj.相互的，彼此的；medal       n.奖牌，勋章，纪念章；moral       adj.有关道德的；fundamental adj.根本的，基本的；material    n.衣料，布料；model       n.模型；【谐音】馒头(mental)"：精神食粮。
competition|n. 竞争；n. 竞赛|There is now intense competition between schools to attract students.|现在学校之间为了招揽生源展开了激烈竞争。||【辨析】composition n.成分构成，成分；competitive adj.竞争的；competence  n.能力，胜任；competent   adj.能干的，能胜任的；compete     v.竞争，对抗；complete    adj.完全的，彻底的；【谐音】看破替身(competition)"：在比赛中，替身被识破了。
conqueror|n. 征服者，占领者|The conqueror tried to make the natives abandon their religion.|征服者试图让当地人放弃他们的宗教。||【辨析】conquer  v.占领，攻克，征服；conquest n.征服，占领；【谐音】抗可热(conqueror)"：抵抗征服者需要用到大量体力会很热。
bullet|n. 子弹|The police shot rubber bullets to break up the protesters.|警察射出了数颗橡胶子弹以驱散抗议者。||【辨析】ballet   n.芭蕾舞剧；buffet   n.自助餐；ballot   n.（无记名）投票选举，投票表决；bully    n.恃强凌弱者，横行霸道者；bulletin n.（广播或电视中的）新闻简报；belly    n.（人或动物的）腹部，肚子；【谐音】不理它(bullet)"：让子弹自己飞一会儿。
metric|n. 衡量标准；adj. 米制的，公制的；adj. 米的|Most high-tech industries have been using the metric system for decades.|大多数的高科技产业已经采用了几十年的米制。|metric ton 公吨；metre n 米公尺|【辨析】metro n.（尤指法国的）地铁，地铁系统；merit n.优秀品质，价值；【谐音】没缺刻度(metric)"：刻度齐全的公制测量系统。
equality|n. 平等；n. 相同|The government should improve gender equality .|政府应当改善性别平等状况。|in equality of 均等|【辨析】equal      adj.（在数量、大小、程度、价值方面）相等的，相同的；quality    n.质量，品质；equator    n.赤道；quantity   n.量，数目；equivalent adj.等同的，等效的；equip      v.装备，配备；adequate   adj.足够的，适当的，合乎需要的；【谐音】一块来提(equality)"：大家平等，吃水一块来提。；【变形】复数形式：equalities
