refrigeration|n. 冷藏，冷冻|This product will go bad without refrigeration .|这个产品不冷藏就会变质。
July|n. 七月|I will graduate from the university in July .|我将于七月份从大学毕业。|on july ninth 七月九日
inside|adj. 内部的，里面的；adv. 在（或向）里面；n. 内部，里面；prep. 在…里；少于（某时间）|Inside the box was a gold watch.|盒子里装着一只金表。|inside out 里面朝外；inside infotmation 内部消息|【辨析】beside  prep.在……旁边，在……附近；side    n.（某人左方或右方的）一边，（事物左方或右方的）一旁；insight n.洞悉，了解；aside   adv.在旁边，到（或向）一边；outside n.外表，外部（the outside）；besides prep.除……之外（还）；inner   adj.内部的，靠近中心的；【谐音】硬塞的(inside)"：硬塞里面的。
elsewhere|adv. 在别处，到别处|The report looks at economic growth in Asia and elsewhere .|这份报告报道了亚洲以及其他地区的经济增长状况。||【辨析】somewhere  adv.在某处；everywhere adv.到处；anywhere   adv.在任何地方；nowhere    adv.无处，哪里都不；【谐音】爱死where(elsewhere)"：爱死这地方了，但要去别处。；【图���】adv. 在别处
shower|n. 淋浴；阵雨（雪）；v. 淋浴；下阵雨；散落|I think I'll have a shower before dinner.|我想晚餐前洗个淋浴。|a shower of 一连串的；shower down 像雨点般地落下；a shower of critism 一连串的批评|【辨析】show     v.显示，表明；shoulder n.肩，肩膀；【谐音】少儿(shower)"：给孩子用的淋浴，好东西。
earthquake|n. 地震|The earthquake destroyed much of San Francisco.|这次地震给旧金山的大部分地区带来了毁灭性的灾难。|on account of 由于、、、、、、缘由|【辨析】earth n.地球，世界
pill|n. 药丸，药片|She took vitamin pills everyday.|她每天都服用维生素片。|bitter pill 苦果|【辨析】poll   n.民意调查，民意测验；mill   n.磨坊，磨粉厂；till   prep.直到，到……为止；hill   n.山丘，小山；fill   v.（使）充满，占满；kill   v.杀死；will   v.将，将要；bill   n.（商品、服务或餐馆的）账单；pile   n.一堆，一叠；pillar n.柱子，支柱；pillow n.枕头；ill    adj.有病的，不舒服的；spill  v.（使）洒出，泼出，溢出；pale   adj.（脸色）苍白的；pest   n.害虫，有害动物
manhood|n. 成年（期）；男子气概|As he grew to manhood , he didn't get any comfort from his parents.|他长大成人时，没有从父母那里得到任何安慰。||【辨析】mankind n.人类；manly   adj.有男子气概的，强壮的；【谐音】忙乎的(manhood)"：忙于成为一个男子汉，指男子气概或成年。
hasten|v. 促进；赶紧做|I hastened to make sure that she was safe.|我赶忙去确认她是否安全。||【辨析】haste    n.仓促，急忙；fasten   v.关紧，锁好（门窗）；hasty    adj.匆忙的，仓促的；heave    v.用力举起，使劲拖；hesitate v.犹豫，不愿意；【谐音】黑森(hasten)"：穿过黑森林时要加快脚步。
consultation|n. 咨询，磋商；商讨（会）|This decision must be made after close consultation with all staffs involved.|必须与所有相关员工密切磋商后才能做这项决定。|in consultation with 经与…磋商；consultation service 咨询服务|【辨析】consultative adj.咨询的，顾问的；consultant   n.顾问；consult      v.咨询，请教；negotiation  n.谈判，协商；【谐音】康嫂忒神(consultation)"：有决定不了的事情就去咨询她。
sense|n. 知觉；意识；理智；理解力；意义；v. 意识到，感觉到；检测出|Dogs have a keen sense of smell.|狗的嗅觉很灵敏。|in a sense 从某种意义上说；make sense 讲的通，有意义，言之有理；come to one's senses 苏醒过来 in a sense 从某种意义上说 make sense 讲得通 talk sense 说话有理；sense and sensibility 李安电影《理智与情感》；make sense of 弄懂。。。。的意思|【辨析】sensible  adj.理智的，合理的；since     prep.自……以后，自……以来；scene     n.事发地，现场；science   n.科学，科学知识；sensitive adj.过敏的，易受影响的；【谐音】生死(sense)"：感知生死。；【变形】现在分词：sensing
seem|linkv. 似乎，看起来|You seem happy.|你好像挺高兴。||【辨析】seed    n.种子，籽；seek    v.寻找；seeming adj.<正式>表面上的，貌似的，似是而非的；deed    n.行为，行动；need    v.需要；feed    v.饲养，喂养，为……提供食物
twelve|num. 十二|There are twelve months a year.|一年有12个月。||【辨析】twelfth adj.第十二的，第十二个的；twenty  n.二十；eleven  n.十一；【谐音】土老虎(twelve)"：12人足球队，踢球像一群土老虎。
