cut|v. 切割；剪裁；削减；停止做；n. 伤口；削减|She cut her finger on a piece of glass.|一块玻璃把她的手指头划破了。|cut a class 旷课；a cut above 高…一等，比…强些；超出（能力等）；make the cut 过关，入选|【辨析】cat     n.猫，猫科动物；cup     n.杯子；cutting n.剪报；chop    v.剁，砍，劈；【变形】过去式：cut；过去分词：cut；现在分词：cutting
decide|v. 决定；裁决|It was difficult to decide between the two candidates.|很难在这两个候选人之间决定取舍。|decide to do sth 决定去做什么；decide for 做出对。。有力的判定；decide between 在。。之间做出选择|【辨析】decade   n.十年，十年期；divide   v.（使）分开，分散；declare  v.宣布，声明；decision n.决定，抉择；【谐音】地晒的(decide)"：我决定在地上晒肉干。（"嘚逼嘚(decide)"：赶快决定，别嘚逼嘚了）
shadow|n. 阴影，影子；形影不离的人；v. 在…投下阴影；尾随|The ship's sail cast a shadow on the water.|船帆在水面上投下一片影子。|eye shadow 眼影；in the shadow of 在…附近；in one's shadow 与…形影不离；in the shadow 在阴暗处|【辨析】shade   n.背阴处，阴凉处；shallow adj.浅的，不深的；shake   v.摇动，抖动；【谐音】啥都(shadow)"：啥都有影子。
zero|n. 零；零度|Five, four, three, two, one, zero We have lift-off.|五、四、三、二、一、零… 我们升空了。|five below zero 零下5度|【辨析】hero  n.英雄，勇士；zebra n.斑马；zoo   n.动物园；zone  n.（有某特色或作用的）地区，地带；【谐音】贼弱(zero)"：战斗力为零。；【变形】复数形式：zeroes/zeros
here|adv. 在这里|Put the box here .|把箱子放在这里。|here and there 在各处；neither here nor there 不重要；here you go 口语，给，请拿着；here we go again 口语，又开始了，（尤指坏事）又开始了，又一次发生了|【辨析】hear  v.听到，听见；there adv.在那里；where adv.在哪里；【谐音】嘿儿(here)"：嘿儿，我们在这里！
sick|adj. 生病的；恶心的；厌烦的|Her mother's very sick .|她母亲病得很厉害。|sick at heart 心情沉重；be sick with 患...病；sick of 对…厌恶；sick wards 病房 a sick ship 需要修理的船|【辨析】suck  v.吸，吮，啜；sock  n.短袜；silk  n.丝绸，丝线；sink  v.下沉，沉没；stick v.粘，贴；thick adj.厚的，粗的；sake  n.利益，好处；【变形】比较级：sicker；最高级：sickest
chemistry|n. 化学；（彼此间的）吸引|She finally got a degree in chemistry after years of hard work.|经过多年的努力，她最终取得了化学学位。||【辨析】chemical adj.化学的，与化学有关的；history  n.历史；charity  n.慈善组织，慈善机构
file|n. 文件（夹）；档案；v. 把文件归档；提起诉讼，提出申请|A stack of files awaited me on my desk.|我桌上有一堆文件正待我去处理。|in file 依次，鱼贯，成二列纵队；on file 存档；in single file 成单行，成一列纵队；file for bankruptcy 申请破产；data file 数据文件|【辨析】pile    n.一堆，一叠；film    n.电影，影片；mile    n.英里；fire    n.失火，火灾；fail    v.失败；firm    n.公司，商行；profile n.（人头部的）侧面（像），侧影；fair    adj.公平的；【谐音】烦哦(file)"：他用指甲锉把我的档案袋打开了。；【变形】现在分词：filing
stain|v. 弄脏；败坏；n. 污迹；污点|This carpet stains easily.|这块地毯不耐脏。||【辨析】sustain   v.维持，保持；train     n.火车，列车；attain    v.获得，实现；retain    v.保持，保留；strain    n.焦虑，紧张；curtain   n.窗帘，门帘；contain   v.包含，容纳；certain   adj.必然的，必定的；stainless adj.不锈的，防锈的；restrain  v.制止，阻止；fountain  n.喷泉
sympathize|v. 同情；支持|He really sympathized with the poor baby who lost her mother several days ago.|他非常同情这个几天前失去了母亲的可怜的孩子。|sympathize with 同情···，与···有同感|【辨析】sympathy    n.同情（心），理解；sympathetic adj.同情的，有同情心的；synthesize  v.（通过化学或生物反应）合成；emphasize   v.强调，着重；【谐音】心破(sym)赛子(pathize)"：因为同情别人的遭遇，自己的心也像破了的筛子。；【变形】现在分词：sympathizing
incident|n. 事件；冲突|One particular incident sticks in my mind.|有一件事我总忘不了。|be incident to 易于发生的，难免的；an international incident 国际性事件；|【辨析】accident     n.交通事故，车祸；incidence    n.发生率；incidental   adj.附带的，次要的；incidentally adv.顺便说一句；incentive    n.激励，刺激；instant      adj.立刻的，马上的；instance     n.例子，实例；coincidence  n.巧合，同时发生；【谐音】因事等他(incident)"：指发生的小事情。
